policy_number,previous_policy_number,policy_renewal_indicator,portability_indicator,policy_status,policy_issuance_type,policy_classification,group_policy_classification,policy_issue_date,policy_start_date,policy_end_date,cancellation_termination_date,agent_id,sales_manager_id,member_id1,member_id2,member_id3,member_id4,member_id5,sum_insured,total_policy_premium,premium_installment_type,premium_paid_till_date,policy_porting_date,policy_inclusion_date,policy_inclusion_ind,number_of_insured,minimum_possible_si,susp_policy_ind,proposer_mobile_no,policy_procurement_area,previous_sum_insured,policy_renewal_date,prev_policy_expiry_date,intermediary_type,first_policy_number,product_uin,plan_name,product_cd
POL-10567,,N,N,CP,U,I,,2024-08-01,2024-08-03,2025-08-02,2025-06-27,AG1007,SM1041,MEMBER-002488,MEMBER-006497,MEMBER-003797,,,403644.73,29729.31,H,29729.31,,,No,3,252653.01,No,9018761714,Rural,,,,IND,POL-10567,UIN-645,Plan C,PERSONAL_ACCIDENT
POL-18002,POL-18063,Y,N,IF,S,G,N,2024-08-09,2024-08-13,2025-08-12,,AG1081,SM1029,MEMBER-002098,MEMBER-005507,MEMBER-004869,,,6393829.7,590271.35,H,590271.35,,2025-01-24,Yes,3,3687981.74,No,9590922050,Urban,5082494.02,2024-08-13,2024-08-12,IND,POL-18063,UIN-869,Plan C,TERM_LIFE
POL-17554,,N,N,IF,U,I,,2024-08-02,2024-08-05,2025-08-04,,AG1091,SM1017,MEMBER-001589,MEMBER-000380,,,,2467707.96,157980.76,Y,157980.76,,,No,2,1748008.43,No,9797606795,Urban,,,,DIR,POL-17554,UIN-115,Plan A,IND_HEALTH
POL-15929,POL-14627,Y,N,IF,S,I,,2024-08-10,2024-08-11,2025-08-10,,AG1104,SM1044,MEMBER-002617,,,,,1391760.14,71074.12,Y,71074.12,,,No,1,994770.8,No,9704831097,Urban,1512973.79,2024-08-11,2024-08-10,IOC,POL-14627,UIN-187,Plan C,IND_HEALTH
POL-11886,,N,N,IF,U,I,,2024-08-01,2024-08-06,2025-08-05,,AG1095,SM1025,MEMBER-006252,MEMBER-003657,MEMBER-005417,,,1025422.56,57015.93,Q,14253.98,,,No,3,656396.14,No,9037305483,Urban,,,,IND,POL-11886,UIN-409,Plan C,PERSONAL_ACCIDENT
POL-15979,,N,N,IF,S,I,,2024-08-03,2024-08-08,2025-08-07,,AG1034,SM1047,MEMBER-005339,MEMBER-001288,,,,596724.9,8421.41,H,4210.7,,,No,2,320392.99,No,9096301410,Urban,,,,DIR,POL-15979,UIN-276,Plan C,IND_HEALTH
POL-18048,,N,N,IF,S,I,,2024-08-05,2024-08-10,2025-08-09,,AG1034,SM1002,MEMBER-002981,MEMBER-001287,MEMBER-001599,MEMBER-005668,MEMBER-002088,575563.83,16571.24,H,8285.62,,,No,5,403803.21,No,9063016039,Rural,,,,SPP,POL-18048,UIN-325,Plan C,GROUP_HEALTH
POL-16787,,N,N,IF,U,G,E,2024-08-11,2024-08-11,2025-08-10,,AG1042,SM1020,MEMBER-002315,MEMBER-001710,MEMBER-003403,MEMBER-001183,,851773.68,67393.42,Y,67393.42,,,No,4,676152.55,No,9276598200,Urban,,,,ORG,POL-16787,UIN-302,Plan B,GROUP_HEALTH
POL-19090,POL-10567,Y,N,IF,S,I,,2024-08-03,2024-08-03,2025-08-02,,AG1119,SM1011,MEMBER-001098,MEMBER-000015,MEMBER-006102,MEMBER-004104,,341706.47,22029.29,H,11014.65,,,No,4,271827.78,No,9585329710,Urban,380869.29,2024-08-03,2024-08-02,DIR,POL-10567,UIN-209,Plan C,TERM_LIFE
POL-10012,POL-17554,Y,N,IF,S,I,,2024-08-11,2024-08-13,2025-08-12,,AG1102,SM1011,MEMBER-003525,MEMBER-006341,MEMBER-003345,MEMBER-002134,MEMBER-001101,2337831.33,121351.5,H,121351.5,,,No,5,1651841.71,No,9703585647,Urban,1706569.68,2024-08-13,2024-08-12,DIR,POL-17554,UIN-400,Plan A,CRITICAL_ILLNESS
POL-14417,,N,N,IF,U,I,,2024-08-03,2024-08-06,2025-08-05,,AG1092,SM1047,MEMBER-001209,MEMBER-002209,MEMBER-001593,MEMBER-004489,,1057647.41,70989.94,H,70989.94,,,No,4,649896.93,No,9736727012,Urban,,,,IOC,POL-14417,UIN-590,Plan A,GROUP_HEALTH
POL-18796,,N,N,IF,S,I,,2024-08-09,2024-08-14,2025-08-13,,AG1066,SM1003,MEMBER-003777,MEMBER-001448,MEMBER-006451,MEMBER-000828,MEMBER-000732,2402280.85,139155.44,Y,139155.44,,,No,5,1847414.57,No,9360537072,Urban,,,,ORG,POL-18796,UIN-603,Plan B,PERSONAL_ACCIDENT
POL-12529,POL-15979,N,Y,IF,S,I,,2024-08-04,2024-08-09,2025-08-08,,AG1075,SM1021,MEMBER-006151,MEMBER-000363,MEMBER-001600,MEMBER-004234,MEMBER-001131,315744.18,21707.3,Y,21707.3,2024-08-09,2024-10-22,Yes,5,206596.9,No,9799963824,Urban,256913.09,,2024-08-08,IND,POL-15979,UIN-806,Plan B,CRITICAL_ILLNESS
POL-17835,,N,N,IF,U,G,E,2024-08-09,2024-08-09,2025-08-08,,AG1022,SM1017,MEMBER-004741,MEMBER-000700,MEMBER-003364,MEMBER-001277,MEMBER-004768,722946.68,50523.49,H,50523.49,,,No,5,373817.67,No,9935902866,Urban,,,,IND,POL-17835,UIN-176,Plan C,IND_HEALTH
POL-10934,,N,N,IF,S,I,,2024-08-03,2024-08-05,2025-08-04,,AG1102,SM1007,MEMBER-005851,MEMBER-000698,MEMBER-002466,MEMBER-001554,MEMBER-004697,1496067.65,138402.64,H,69201.32,,,No,5,1109232.14,No,9494765361,Urban,,,,IND,POL-10934,UIN-193,Plan C,CRITICAL_ILLNESS
POL-13907,POL-19667,N,Y,IF,S,I,,2024-08-01,2024-08-06,2025-08-05,,AG1138,SM1022,MEMBER-002455,MEMBER-003262,MEMBER-000530,,,2061063.5,191476.03,H,95738.01,2024-08-06,,No,3,1398155.96,No,9421235490,Rural,1625048.97,,2024-08-05,ORG,POL-19667,UIN-960,Plan C,PERSONAL_ACCIDENT
POL-12239,,N,N,IF,S,I,,2024-08-02,2024-08-07,2025-08-06,,AG1002,SM1015,MEMBER-002894,MEMBER-002931,MEMBER-006354,MEMBER-000692,,1560714.17,105054.55,Q,105054.55,,,No,4,964034.97,No,9975572253,Urban,,,,DIR,POL-12239,UIN-118,Plan A,IND_HEALTH
POL-13298,POL-15929,N,Y,IF,U,I,,2024-08-10,2024-08-12,2025-08-11,,AG1031,SM1027,MEMBER-001411,MEMBER-006235,MEMBER-004593,MEMBER-006111,,186642.44,4456.38,Y,4456.38,2024-08-12,,No,4,147335.33,No,9972344514,Rural,151668.74,,2024-08-11,IOC,POL-15929,UIN-702,Plan B,GROUP_HEALTH
POL-17941,,N,N,IF,U,I,,2024-08-01,2024-08-02,2025-08-01,,AG1133,SM1032,MEMBER-004034,MEMBER-003928,MEMBER-000835,MEMBER-002876,,2457313.86,135904.91,H,135904.91,,,No,4,1857414.58,No,9184113711,Rural,,,,IND,POL-17941,UIN-408,Plan A,TERM_LIFE
POL-19622,,N,N,IF,S,I,,2024-08-06,2024-08-11,2025-08-10,,AG1069,SM1027,MEMBER-005259,MEMBER-003531,,,,1284139.15,117307.72,M,107532.08,,,No,2,649533.64,No,9578063695,Urban,,,,IND,POL-19622,UIN-380,Plan B,FAMILY_HEALTH_OPTIMA
POL-10564,,N,N,IF,U,I,,2024-08-10,2024-08-11,2025-08-10,,AG1099,SM1033,MEMBER-000764,MEMBER-003787,,,,368677.49,13919.03,Q,13919.03,,,No,2,209236.71,No,9796109647,Rural,,,,IND,POL-10564,UIN-362,Plan B,IND_HEALTH
POL-12783,POL-15700,Y,N,XP,S,G,E,2024-08-06,2024-08-07,2025-08-06,,AG1134,SM1038,MEMBER-000497,MEMBER-006167,MEMBER-002377,MEMBER-005793,,8201753.0,336560.86,Y,336560.86,,,No,4,4706652.72,No,9199937159,Urban,8928797.12,2024-08-07,2024-08-06,IND,POL-15700,UIN-802,Plan A,TERM_LIFE
POL-19996,POL-10567,N,Y,IF,S,I,,2024-08-05,2024-08-10,2025-08-09,,AG1134,SM1039,MEMBER-001836,MEMBER-004709,MEMBER-001770,MEMBER-005665,,1659041.53,73987.28,H,73987.28,2024-08-10,,No,4,836727.49,No,9895443794,Urban,1604891.29,,2024-08-09,IND,POL-10567,UIN-276,Plan C,TERM_LIFE
POL-17901,,N,N,IF,S,I,,2024-08-08,2024-08-11,2025-08-10,,AG1081,SM1004,MEMBER-002358,MEMBER-005258,MEMBER-001300,,,1682826.46,82331.45,H,82331.45,,,No,3,1332787.61,No,9450833893,Urban,,,,ORG,POL-17901,UIN-281,Plan C,CRITICAL_ILLNESS
POL-14758,,N,N,IF,U,I,,2024-08-05,2024-08-06,2025-08-05,,AG1053,SM1011,MEMBER-005513,MEMBER-004995,,,,1156912.45,71979.55,Y,71979.55,,,No,2,790655.03,No,9390689554,Urban,,,,IND,POL-14758,UIN-824,Plan B,IND_HEALTH
POL-11341,,N,N,IF,S,G,E,2024-08-06,2024-08-11,2025-08-10,,AG1060,SM1008,MEMBER-005409,MEMBER-005851,,,,1260261.41,123612.15,H,61806.07,,,No,2,995514.08,No,9554102580,Urban,,,,IND,POL-11341,UIN-661,Plan A,TERM_LIFE
POL-13151,,N,N,IF,S,I,,2024-08-04,2024-08-04,2025-08-03,,AG1003,SM1037,MEMBER-004485,MEMBER-006439,MEMBER-000647,MEMBER-004011,MEMBER-006727,594519.63,29696.78,Q,7424.19,,,No,5,352555.32,No,9270196195,Urban,,,,IND,POL-13151,UIN-818,Plan A,PERSONAL_ACCIDENT
POL-13140,POL-12783,Y,N,IF,U,I,,2024-08-09,2024-08-13,2025-08-12,,AG1113,SM1029,MEMBER-005434,MEMBER-004090,,,,1938222.46,77334.06,Q,58000.54,,,No,2,1122319.48,No,9909322593,Urban,2153385.37,2024-08-13,2024-08-12,IND,POL-12783,UIN-250,Plan C,FAMILY_HEALTH_OPTIMA
POL-11045,,N,N,IF,S,I,,2024-08-09,2024-08-12,2025-08-11,,AG1109,SM1047,MEMBER-002365,MEMBER-000774,MEMBER-005678,MEMBER-001534,,316395.16,22930.73,Y,22930.73,,,No,4,233943.96,No,9857329885,Rural,,,,IND,POL-11045,UIN-295,Plan B,IND_HEALTH
POL-16793,,N,N,IF,S,G,E,2024-08-04,2024-08-04,2025-08-03,,AG1075,SM1025,MEMBER-001318,,,,,2858234.94,181532.58,H,90766.29,,,No,1,1839055.62,No,9503863546,Rural,,,,IND,POL-16793,UIN-840,Plan A,CRITICAL_ILLNESS
POL-13732,POL-17941,N,Y,IF,S,I,,2024-08-03,2024-08-05,2025-08-04,,AG1045,SM1012,MEMBER-000732,MEMBER-002353,,,,1146539.14,89751.31,Q,44875.65,2024-08-05,,No,2,576914.53,No,9475572280,Rural,900416.77,,2024-08-04,IOC,POL-17941,UIN-722,Plan B,GROUP_HEALTH
POL-12925,POL-11045,N,Y,IF,S,I,,2024-08-03,2024-08-06,2025-08-05,,AG1134,SM1022,MEMBER-001925,MEMBER-003194,MEMBER-004764,MEMBER-000039,,2025585.47,99754.87,H,99754.87,2024-08-06,,No,4,1226303.56,No,9304629931,Rural,2350403.41,,2024-08-05,ORG,POL-11045,UIN-222,Plan A,FAMILY_HEALTH_OPTIMA
POL-18107,POL-17554,Y,N,TM,S,I,,2024-08-12,2024-08-17,2025-08-16,2025-07-04,AG1012,SM1013,MEMBER-000053,MEMBER-000145,MEMBER-006769,,,1428723.29,133067.04,Y,133067.04,,,No,3,1004259.68,No,9455977726,Urban,1311454.81,2024-08-17,2024-08-16,IND,POL-17554,UIN-104,Plan A,CRITICAL_ILLNESS
POL-18197,POL-11341,Y,N,IF,U,I,,2024-08-10,2024-08-14,2025-08-13,,AG1022,SM1023,MEMBER-006094,MEMBER-004832,MEMBER-005988,,,527852.84,23216.3,Y,23216.3,,,No,3,366854.89,No,9184730489,Urban,417481.37,2024-08-14,2024-08-13,DIR,POL-11341,UIN-292,Plan B,TERM_LIFE
POL-16322,,N,N,CP,S,I,,2024-08-02,2024-08-05,2025-08-04,2024-11-27,AG1142,SM1036,MEMBER-003088,MEMBER-003441,MEMBER-003502,MEMBER-005162,,2208012.94,97295.51,Y,97295.51,,,No,4,1637353.62,No,9164482421,Rural,,,,IND,POL-16322,UIN-994,Plan C,IND_HEALTH
POL-14011,,N,N,IF,S,I,,2024-08-06,2024-08-10,2025-08-09,,AG1022,SM1044,MEMBER-003055,MEMBER-001694,MEMBER-006553,,,2138385.7,139322.51,H,139322.51,,,No,3,1701781.48,No,9032081934,Urban,,,,ORG,POL-14011,UIN-113,Plan A,TERM_LIFE
POL-14227,,N,N,IF,S,G,E,2024-08-06,2024-08-09,2025-08-08,,AG1122,SM1038,MEMBER-001572,,,,,4361781.78,293304.21,Y,293304.21,,,No,1,2723137.74,No,9206370326,Rural,,,,SPP,POL-14227,UIN-808,Plan C,TERM_LIFE
POL-19772,,N,N,IF,S,I,,2024-08-09,2024-08-10,2025-08-09,,AG1035,SM1017,MEMBER-005355,MEMBER-002834,MEMBER-001495,MEMBER-004940,,283410.25,17626.54,Q,13219.91,,,No,4,192496.1,No,9112949409,Urban,,,,IND,POL-19772,UIN-960,Plan C,TERM_LIFE
POL-16842,,N,N,IF,S,I,,2024-08-10,2024-08-14,2025-08-13,,AG1135,SM1027,MEMBER-004429,MEMBER-004950,MEMBER-002674,MEMBER-001153,,1694838.84,155908.29,Y,155908.29,,2024-10-15,Yes,4,1303071.21,No,9974783918,Rural,,,,IND,POL-16842,UIN-276,Plan A,CRITICAL_ILLNESS
POL-13223,,N,N,IF,S,I,,2024-08-05,2024-08-08,2025-08-07,,AG1013,SM1011,MEMBER-001739,MEMBER-001881,MEMBER-007000,MEMBER-003560,,382743.57,19266.92,Y,19266.92,,,No,4,297045.96,No,9583903838,Urban,,,,IND,POL-13223,UIN-835,Plan B,GROUP_HEALTH
POL-10382,,N,N,IF,U,I,,2024-08-05,2024-08-09,2025-08-08,,AG1068,SM1042,MEMBER-005846,,,,,1998883.83,198750.14,Y,198750.14,,,No,1,1330304.96,No,9640243914,Rural,,,,IND,POL-10382,UIN-394,Plan C,GROUP_HEALTH
POL-14312,POL-17835,Y,N,IF,S,I,,2024-08-07,2024-08-09,2025-08-08,,AG1028,SM1046,MEMBER-004259,MEMBER-003865,MEMBER-006402,MEMBER-006158,,1817028.32,155947.5,Y,155947.5,,,No,4,970667.21,No,9852241551,Rural,1487388.6,2024-08-09,2024-08-08,DIR,POL-17835,UIN-938,Plan C,IND_HEALTH
POL-16980,,N,N,IF,S,I,,2024-08-08,2024-08-10,2025-08-09,,AG1106,SM1040,MEMBER-001089,MEMBER-000201,MEMBER-000004,,,145158.2,7781.31,Y,7781.31,,,No,3,80751.61,No,9483743966,Urban,,,,IND,POL-16980,UIN-458,Plan B,IND_HEALTH
POL-17111,POL-14417,Y,N,IF,S,I,,2024-08-07,2024-08-11,2025-08-10,,AG1093,SM1015,MEMBER-002809,MEMBER-000955,MEMBER-000451,MEMBER-003339,MEMBER-004957,1587946.21,54491.76,Q,13622.94,,,No,5,1195805.99,No,9083216603,Rural,1440601.12,2024-08-11,2024-08-10,IOC,POL-14417,UIN-961,Plan C,CRITICAL_ILLNESS
POL-17841,,N,N,IF,U,I,,2024-08-04,2024-08-05,2025-08-04,,AG1133,SM1027,MEMBER-005782,MEMBER-002928,MEMBER-006675,MEMBER-003925,MEMBER-005394,1783610.94,174979.05,Y,174979.05,,,No,5,1326496.87,No,9539872342,Rural,,,,IND,POL-17841,UIN-957,Plan B,IND_HEALTH
POL-19536,,N,N,IF,U,I,,2024-08-05,2024-08-08,2025-08-07,,AG1020,SM1049,MEMBER-003563,MEMBER-002538,MEMBER-002595,,,399158.38,10833.99,Q,2708.5,,,No,3,248868.41,No,9239045546,Rural,,,,IND,POL-19536,UIN-357,Plan B,PERSONAL_ACCIDENT
POL-18472,,N,N,CP,S,I,,2024-08-05,2024-08-05,2025-08-04,2025-05-11,AG1062,SM1014,MEMBER-003750,,,,,261643.04,17834.78,Q,17834.78,,,No,1,172289.19,No,9557897378,Urban,,,,IND,POL-18472,UIN-740,Plan C,FAMILY_HEALTH_OPTIMA
POL-11263,,N,N,IF,U,I,,2024-08-03,2024-08-03,2025-08-02,,AG1051,SM1041,MEMBER-003479,MEMBER-003487,MEMBER-006201,MEMBER-000900,,801394.05,51130.17,Q,38347.63,,,No,4,598901.63,No,9656894234,Urban,,,,IND,POL-11263,UIN-527,Plan A,GROUP_HEALTH
POL-12764,,N,N,IF,U,I,,2024-08-09,2024-08-09,2025-08-08,,AG1006,SM1014,MEMBER-003130,MEMBER-001108,MEMBER-000765,,,1978347.38,153576.17,Y,153576.17,,,No,3,1210774.57,No,9228090358,Rural,,,,IND,POL-12764,UIN-757,Plan C,CRITICAL_ILLNESS
POL-11236,,N,N,IF,S,I,,2024-08-05,2024-08-09,2025-08-08,,AG1080,SM1001,MEMBER-001959,MEMBER-005215,,,,559583.64,7581.24,Y,7581.24,,,No,2,340713.24,No,9943165227,Urban,,,,DIR,POL-11236,UIN-728,Plan A,CRITICAL_ILLNESS
POL-16562,,N,N,IF,S,I,,2024-08-03,2024-08-08,2025-08-07,,AG1047,SM1018,MEMBER-002351,MEMBER-000167,MEMBER-006435,,,2456045.69,236140.32,Y,236140.32,,2024-08-24,Yes,3,1474160.46,No,9567079604,Urban,,,,IOC,POL-16562,UIN-347,Plan B,CRITICAL_ILLNESS
POL-16472,,N,N,IF,S,I,,2024-08-03,2024-08-04,2025-08-03,,AG1012,SM1004,MEMBER-002803,MEMBER-004227,,,,1068877.14,74837.53,H,74837.53,,,No,2,774729.22,No,9195583684,Rural,,,,ORG,POL-16472,UIN-390,Plan A,FAMILY_HEALTH_OPTIMA
POL-13919,,N,N,IF,S,I,,2024-08-04,2024-08-08,2025-08-07,,AG1032,SM1035,MEMBER-003247,MEMBER-003494,,,,760956.13,24738.02,Y,24738.02,,2025-02-03,Yes,2,468668.23,No,9906593069,Urban,,,,ORG,POL-13919,UIN-112,Plan B,FAMILY_HEALTH_OPTIMA
POL-17385,,N,N,IF,S,I,,2024-08-04,2024-08-07,2025-08-06,,AG1016,SM1036,MEMBER-000342,,,,,2338284.25,102117.7,Y,102117.7,,,No,1,1229436.74,No,9346754986,Urban,,,,IOC,POL-17385,UIN-491,Plan B,GROUP_HEALTH
POL-18207,,N,N,IF,U,I,,2024-08-02,2024-08-06,2025-08-05,,AG1142,SM1025,MEMBER-002455,MEMBER-001327,MEMBER-002594,MEMBER-006468,MEMBER-001674,1681880.23,85834.29,H,85834.29,,,No,5,928293.14,No,9739822883,Urban,,,,ORG,POL-18207,UIN-218,Plan A,FAMILY_HEALTH_OPTIMA
POL-10829,,N,N,IF,S,I,,2024-08-04,2024-08-04,2025-08-03,,AG1015,SM1001,MEMBER-006045,,,,,1922548.36,69316.69,Y,69316.69,,,No,1,1271778.81,No,9384177979,Urban,,,,IND,POL-10829,UIN-804,Plan A,CRITICAL_ILLNESS
POL-14387,,N,N,IF,U,I,,2024-08-09,2024-08-11,2025-08-10,,AG1115,SM1030,MEMBER-003446,,,,,1197358.45,109529.49,Q,82147.12,,2025-06-21,Yes,1,929321.19,No,9092799691,Urban,,,,ORG,POL-14387,UIN-867,Plan A,TERM_LIFE
POL-18349,,N,N,IF,U,G,N,2024-08-08,2024-08-08,2025-08-07,,AG1145,SM1008,MEMBER-004174,MEMBER-005369,MEMBER-000691,MEMBER-003114,MEMBER-000220,2624823.82,166078.35,Y,166078.35,,,No,5,1740822.71,No,9729581778,Urban,,,,SPP,POL-18349,UIN-851,Plan A,IND_HEALTH
POL-18690,POL-15469,N,Y,XP,S,I,,2024-08-11,2024-08-13,2025-08-12,,AG1149,SM1033,MEMBER-003031,MEMBER-002364,MEMBER-006072,MEMBER-002293,MEMBER-003083,1621173.71,73007.14,M,42587.5,2024-08-13,,No,5,1209012.45,No,9910733435,Urban,1401968.07,,2024-08-12,IND,POL-15469,UIN-268,Plan B,FAMILY_HEALTH_OPTIMA
POL-13286,POL-15979,Y,N,IF,U,G,E,2024-08-02,2024-08-04,2025-08-03,,AG1064,SM1003,MEMBER-001088,MEMBER-000955,MEMBER-006901,,,642008.42,14454.36,M,7227.18,,,No,3,460509.3,No,9962414870,Urban,759238.66,2024-08-04,2024-08-03,IND,POL-15979,UIN-550,Plan A,CRITICAL_ILLNESS
POL-15103,,N,N,IF,U,I,,2024-08-11,2024-08-13,2025-08-12,,AG1065,SM1020,MEMBER-001119,MEMBER-000135,MEMBER-005090,MEMBER-002027,MEMBER-006095,1909876.52,107521.99,Y,107521.99,,,No,5,1140074.66,No,9608327579,Rural,,,,ORG,POL-15103,UIN-255,Plan A,CRITICAL_ILLNESS
POL-19827,POL-14312,Y,N,IF,S,I,,2024-08-02,2024-08-05,2025-08-04,,AG1024,SM1020,MEMBER-002971,MEMBER-004992,MEMBER-005596,,,216588.01,2290.17,M,2099.32,,,No,3,171556.0,No,9737873317,Urban,202448.61,2024-08-05,2024-08-04,ORG,POL-14312,UIN-975,Plan A,FAMILY_HEALTH_OPTIMA
POL-13610,,N,N,IF,S,I,,2024-08-08,2024-08-09,2025-08-08,,AG1072,SM1017,MEMBER-006241,MEMBER-000564,MEMBER-005090,MEMBER-003377,MEMBER-004272,1926143.69,77407.92,H,77407.92,,,No,5,1437033.58,No,9260901355,Urban,,,,IND,POL-13610,UIN-241,Plan C,CRITICAL_ILLNESS
POL-18571,,N,N,IF,S,I,,2024-08-06,2024-08-10,2025-08-09,,AG1089,SM1007,MEMBER-004600,MEMBER-005126,MEMBER-006734,,,786136.36,54310.52,H,27155.26,,,No,3,432017.79,No,9556513540,Rural,,,,IND,POL-18571,UIN-568,Plan C,PERSONAL_ACCIDENT
POL-11181,,N,N,CP,S,I,,2024-08-02,2024-08-05,2025-08-04,2025-03-25,AG1057,SM1031,MEMBER-005926,MEMBER-002530,,,,1871495.54,130753.16,H,65376.58,,,No,2,1479497.09,No,9909537483,Rural,,,,IND,POL-11181,UIN-927,Plan C,TERM_LIFE
POL-12903,,N,N,CP,S,I,,2024-08-08,2024-08-12,2025-08-11,2025-08-04,AG1002,SM1032,MEMBER-001564,,,,,249985.15,10768.57,Y,10768.57,,,No,1,195028.27,No,9912615101,Urban,,,,IND,POL-12903,UIN-546,Plan A,PERSONAL_ACCIDENT
POL-14412,,N,N,XP,U,I,,2024-08-01,2024-08-03,2025-08-02,,AG1086,SM1014,MEMBER-001589,MEMBER-002750,MEMBER-003289,MEMBER-000525,MEMBER-006845,717983.61,56009.15,H,56009.15,,2025-01-07,Yes,5,381481.9,No,9595632457,Urban,,,,IND,POL-14412,UIN-288,Plan C,FAMILY_HEALTH_OPTIMA
POL-14278,POL-17385,Y,N,IF,S,I,,2024-08-01,2024-08-06,2025-08-05,,AG1125,SM1037,MEMBER-005886,MEMBER-000650,MEMBER-002063,MEMBER-005987,MEMBER-004632,2256349.04,106120.79,Y,106120.79,,2024-09-29,Yes,5,1322376.17,No,9426402585,Rural,2456850.4,2024-08-06,2024-08-05,IND,POL-17385,UIN-200,Plan C,PERSONAL_ACCIDENT
POL-11310,,N,N,IF,S,I,,2024-08-08,2024-08-10,2025-08-09,,AG1149,SM1029,MEMBER-000455,MEMBER-006944,MEMBER-004785,MEMBER-004142,MEMBER-004174,1998517.29,93423.51,Y,93423.51,,,No,5,1394285.29,No,9403102862,Urban,,,,IND,POL-11310,UIN-273,Plan C,PERSONAL_ACCIDENT
POL-17609,POL-11045,Y,N,IF,S,I,,2024-08-04,2024-08-04,2025-08-03,,AG1098,SM1002,MEMBER-002010,,,,,2106711.75,94255.92,H,94255.92,,,No,1,1438720.5,No,9542612962,Urban,2070899.77,2024-08-04,2024-08-03,IND,POL-11045,UIN-981,Plan A,PERSONAL_ACCIDENT
