mem_id,mem_tpa_member_id,mem_type,mem_first_name,mem_middle_name,mem_last_name,mem_full_name,mem_dob,mem_dod,mem_gender,mem_marital_status,mem_nationality,mem_citizenship_status,mem_occupation,mem_educational_qualification,mem_permanent_address_line1,mem_permanent_address_line2,mem_permanent_address_line3,mem_permanent_landmark,mem_permanent_city,mem_permanent_district,mem_permanent_state,mem_permanent_country,mem_permanent_pin_code,mem_communication_address_line1,mem_communication_address_line2,mem_communication_address_line3,mem_communication_landmark,mem_communication_city,mem_communication_district,mem_communication_state,mem_communication_country,mem_communication_pin_code,mem_telephone_type_1,mem_telephone_number_1,mem_telephone_type_2,mem_telephone_number_2,mem_email_1,mem_email_2,mem_acc_no,mem_late_enrollment_flag,mem_ped_non_discl_rem_flag,mem_chronic_disease_ind
MEMBER-000011,TPA-442485,I,Khushi,Ranbir,Rau,Kiaan Vaidya,1981-04-01,,F,S,Indian,R,GOVT_EMP,04,H.No. 102 Savant Circle,Anand Chowk,Vijayanagaram,,Miryalaguda,Chapra,Odisha,India,456698,H.No. 102 Savant Circle,Dugar Nagar,Vijayanagaram,,Miryalaguda,Guwahati,Odisha,India,456698,M,02034112527,,5062777981,aradhyasarna@example.net,hridaansarin@example.org,747721861844,No,0,0
MEMBER-000012,TPA-658224,I,Parinaaz,,Kaur,Bhamini Dara,1957-09-14,,F,D,Indian,R,BUSINESS,07,H.No. 97 Lala Street,Ramanathan,Mehsana,,Karawal Nagar,Ahmedabad,Assam,India,472883,H.No. 97 Lala Street,Ramanathan,Mehsana,Near Batta Ganj,Karawal Nagar,Ahmedabad,Assam,India,080257,M,06431502428,H,+914982756917,bassijivin@example.com,,205405519010,No,0,0
MEMBER-000013,TPA-579989,I,Tushar,Lagan,Swaminathan,Vanya Mangal,1968-01-27,,M,S,Indian,R,GOVT_EMP,04,58/19 Jha Marg,Tara Path,Darbhanga,Behind School,Durg,Yamunanagar,Kerala,India,857702,58/19 Jha Marg,Tara Path,Darbhanga,Behind School,Durg,Yamunanagar,Kerala,India,857702,M,4683686531,,8478280114,umang69@example.com,sakshamrattan@example.net,225795904513,No,0,0
MEMBER-000014,TPA-785362,I,Sahil,,Subramanian,Hiran Mann,1970-10-15,,F,M,Indian,R,ENGINEER,03,H.No. 65 Rastogi,Srivastava Chowk,Siliguri,Opposite Majumdar-Sodhi,Navi Mumbai,Mango,Assam,India,171328,654 Cheema Zila,Bora Street,Siliguri,Opposite Majumdar-Sodhi,Navi Mumbai,Nangloi Jat,Assam,India,734644,M,02623306885,M,7208030117,kashvisahota@example.com,,804183241889,No,0,0
MEMBER-000015,TPA-797724,I,Alisha,,Bora,Nakul Sankar,2000-01-26,,F,S,Indian,R,STUDENT,07,H.No. 83- Babu Ganj,Mane Zila,Hosur,,Kharagpur,Parbhani,Manipur,India,507950,03/583- Ghosh Street,Mane Zila,Chennai,,Kharagpur,Parbhani,Manipur,India,507950,M,7594396904,M,,lakshaybhalla@example.net,,842378559867,No,0,0
MEMBER-000016,TPA-310062,B,Rania,,Dugal,Siya Ramanathan,1950-04-20,,M,M,Indian,R,TEACHER,03,H.No. 61- Kunda Ganj,Karan Road,Patna,Behind Park,Buxar,Anand,Meghalaya,India,578718,H.No. 61- Kunda Ganj,Karan Road,Dewas,Behind Park,Buxar,Anand,Meghalaya,India,578718,H,+915379514365,,,madanvardaniya@example.net,,071953532056,No,0,0
MEMBER-000017,TPA-907327,I,,Tarini,Sahota,Samaira Dani,1980-05-18,,F,S,Indian,R,TEACHER,04,H.No. 669 Kunda Nagar,Atwal Nagar,Sagar,Opposite Aurora-Krishnamurthy,Haridwar,Tiruppur,Himachal Pradesh,India,800729,H.No. 481 Gara,Sami Ganj,Raurkela Industrial Township,Opposite Din-Sane,Haridwar,Tiruppur,Himachal Pradesh,India,800729,M,5594810914,M,+913779871643,kjani@example.org,ibadami@example.org,775986445792,No,0,0
MEMBER-000018,TPA-961431,I,Ishaan,,Ratti,Arnav Krishna,1980-05-20,,F,M,Indian,R,GOVT_EMP,04,57- Seshadri Street,Hayer Road,Chandigarh,Near Devi Nagar,Bilaspur,Nangloi Jat,Andhra Pradesh,India,708344,57- Seshadri Street,Hayer Road,Chandigarh,Near Devi Nagar,Bilaspur,Nangloi Jat,Madhya Pradesh,India,708344,H,08769346009,,+919265530962,ishitagera@example.com,,748502101162,No,0,0
MEMBER-000019,TPA-702342,I,Prerak,Ahana ,Bose,Trisha Chakraborty,1984-09-30,,M,M,Indian,R,TEACHER,01,88 Raman Zila,Sunder Chowk,Bangalore,,Karawal Nagar,Bidhannagar,Punjab,India,888634,88 Raman Zila,Sunder Chowk,Bangalore,,Karawal Nagar,Bidhannagar,Punjab,India,616070,M,+917908071340,M,5251445954,vihaan23@example.org,,079866151021,No,0,0
MEMBER-000020,TPA-471872,B,Alisha,Tejas,Wable,Devansh Mani,1987-07-18,,M,M,Indian,R,FARMER,07,H.No. 79 Iyer Chowk,Rama Chowk,Kakinada,Behind Mall,Kalyan-Dombivli,Kavali,Rajasthan,India,005517,H.No. 79 Iyer Chowk,Rama Chowk,Kakinada,Behind Mall,Kalyan-Dombivli,Kavali,Rajasthan,India,005517,H,9784715489,M,+911067012498,hchokshi@example.com,,915139259437,No,0,0
MEMBER-000021,TPA-849631,I,Zain,Yakshit,Gulati,Yuvaan Chaudhuri,1987-06-24,,M,S,Indian,R,GOVT_EMP,01,850- Dar Circle,Ravi Circle,Nandyal,Behind Park,Arrah,Giridih,Tamil Nadu,India,715337,850- Dar Circle,Ravi Circle,Nandyal,Behind Park,Arrah,Giridih,Tamil Nadu,India,715337,H,5815346737,M,6608777760,adah75@example.org,,740266523637,No,0,0
MEMBER-000022,TPA-704877,B,Indranil,Vidur,Deshmukh,Kimaya Mannan,1947-07-21,,F,M,Indian,R,FARMER,04,32 Sengupta Nagar,Chander Road,Hyderabad,,Kottayam,Thrissur,Uttarakhand,India,928640,40/870- Dara Marg,Chander Road,Hyderabad,,Kottayam,Kottayam,Uttarakhand,India,928640,O,01359047083,M,+912389776036,rheasandhu@example.org,mohanlalkrish@example.com,950007622044,No,0,0
MEMBER-000023,TPA-260017,I,Aayush,Nirvi,Baria,Vidur Khalsa,1946-12-29,,M,M,Indian,R,FARMER,06,H.No. 791- Basak Nagar,Subramanian Ganj,Anantapuram,Near Lanka,Panipat,Panihati,Uttarakhand,India,514926,H.No. 791- Basak Nagar,Subramanian Ganj,Anantapuram,Opposite Banerjee- Madan and Mander,Bhatpara,Panihati,Gujarat,India,514926,H,07193506926,O,,samarchand@example.com,,542487178699,No,0,0
MEMBER-000024,TPA-298020,I,Hansh,Khushi,Raja,Lakshit Kalla,1968-01-18,,F,S,Indian,R,RETIRED,04,62/79 Arya Path,Vasa Nagar,Sagar,Near Contractor Street,Srikakulam,Loni,Punjab,India,557141,62/79 Arya Path,Vasa Nagar,Haridwar,Near Contractor Street,Srikakulam,Loni,Punjab,India,557141,O,+911741179024,M,,gchandran@example.com,,461491035287,No,0,0
MEMBER-000025,TPA-910540,I,Urvi,Hazel,Chandran,Shlok Toor,1986-10-29,,M,M,Indian,R,DOCTOR,06,H.No. 26 Samra Chowk,Dara Chowk,Ballia,Behind School,Haridwar,Gandhidham,Odisha,India,282611,H.No. 26 Samra Chowk,Dara Chowk,Ballia,Behind School,Haridwar,Gandhidham,Jharkhand,India,282611,M,+910594681104,,,ctella@example.org,ccomar@example.net,623473871584,No,0,0
MEMBER-000026,TPA-255486,I,Heer,Shlok,Wable,Diya Gulati,1973-09-27,,F,M,Indian,R,PROF,06,55- Dua Ganj,Bumb Street,Amravati,Behind School,Chandigarh,Nagaon,Uttarakhand,India,276937,H.No. 39- Manda Street,Bumb Street,Amravati,Behind School,Chandigarh,Nagaon,Uttarakhand,India,276937,M,5317180212,M,3570469914,divit51@example.com,mirayasubramaniam@example.org,989182981451,No,0,0
MEMBER-000027,TPA-316157,I,Reyansh,Alisha,Lad,Lakshit Lalla,1949-11-03,,F,M,Indian,R,GOVT_EMP,02,03/58- De Road,Sen Ganj,Ozhukarai,Opposite Gupta-Saraf,Latur,Gudivada,Assam,India,965989,H.No. 40- Brar Zila,Sen Ganj,Ozhukarai,Opposite Gupta-Saraf,Latur,Gudivada,Assam,India,965989,H,4736482282,O,3134014378,riya27@example.com,,132369652375,No,0,0
MEMBER-000028,TPA-423466,I,Rania,Siya,Bajaj,Samar Vyas,1949-09-04,,F,M,Indian,R,GOVT_EMP,08,41 Taneja Zila,Mannan Street,South Dumdum,Near Guha Chowk,Aurangabad,Bharatpur,Chhattisgarh,India,814379,41 Taneja Zila,Mannan Street,South Dumdum,Near Guha Chowk,Aurangabad,Bharatpur,Chhattisgarh,India,814379,O,01699210469,O,03245585388,ira56@example.org,,504223632202,No,0,0
MEMBER-000029,TPA-290407,I,Rati,Rania,Ghose,Biju Sodhi,2004-04-22,,M,M,Indian,R,DOCTOR,04,85/440- Ramachandran Path,Joshi Nagar,Shimoga,Opposite Sarna and Sons,Cuttack,Siwan,Maharashtra,India,727403,85/440- Ramachandran Path,Salvi Circle,Shimoga,Opposite Sarna and Sons,Cuttack,Siwan,Maharashtra,India,727403,M,+916200625263,H,+913090769470,prerakramakrishnan@example.net,sidhumadhav@example.com,441868636867,No,0,0
MEMBER-000030,TPA-205797,I,Madhav,Tara,Chopra,Diya Das,1951-12-18,,F,M,Indian,R,RETIRED,06,29- Konda,Gupta Street,Thane,Near Goyal,Bhopal,Tirunelveli,West Bengal,India,059290,H.No. 597 Barman Nagar,Doctor Street,Thane,Near Goyal,Bhopal,Gangtok,Uttar Pradesh,India,875372,M,+916780653345,M,7895054441,hirandalal@example.com,bhattacharyyatanya@example.org,220783027634,No,0,0
MEMBER-000031,TPA-127498,I,Charvi,,Gola,Mahika Aggarwal,2002-01-26,,M,M,Indian,R,BUSINESS,08,H.No. 377 Wagle Marg,Manda Ganj,Solapur,Near Rao Marg,Bathinda,Adoni,Karnataka,India,534150,H.No. 377 Wagle Marg,Manda Ganj,Solapur,Near Rao Marg,Bathinda,Adoni,Karnataka,India,534150,H,+919803866972,,,ahana-seshadri@example.com,bhattpranay@example.net,629621451239,No,0,0
MEMBER-000032,TPA-659333,I,Onkar,Aniruddh,Sethi,Misha Jaggi,1961-09-07,,F,M,Indian,R,FARMER,05,60/06 Karnik Circle,Issac Path,Burhanpur,Behind Park,Latur,Kolhapur,Manipur,India,608022,60/06 Karnik Circle,Issac Path,Morena,Behind Park,Latur,Kolhapur,Manipur,India,608022,O,04800552913,,04910290479,rohan57@example.org,rdora@example.com,816118427427,No,0,0
MEMBER-000033,TPA-731160,B,Gatik,Anika,Andra,Veer Chaudhari,1978-01-31,,F,M,Indian,R,GOVT_EMP,09,03/380- Sharaf Path,Kibe Zila,Motihari,Behind Park,Jalandhar,Jamalpur,Tripura,India,322594,H.No. 68 Chauhan Ganj,Kibe Zila,Motihari,Behind Park,Jalandhar,Bhalswa Jahangir Pur,Nagaland,India,322594,M,03890920150,H,,zachariahaaina@example.org,echakraborty@example.com,,No,0,0
MEMBER-000034,TPA-985730,B,Devansh,Myra,Ganesh,Indrajit Verma,1968-04-19,,F,M,Indian,R,TEACHER,06,258- Biswas Street,Mall Path,Bihar Sharif,Behind Mall,Bulandshahr,Anand,Assam,India,618079,258- Biswas Street,Mall Path,Bihar Sharif,Behind Mall,Bulandshahr,Anand,Uttarakhand,India,618079,H,+911227359450,M,+919034912290,bathanaya@example.org,dhardishani@example.net,654365393087,No,0,0
MEMBER-000035,TPA-141369,B,Shaan,Kismat,Mangal,Shlok Rastogi,1977-03-04,,F,S,Indian,R,GOVT_EMP,09,H.No. 272 Ahluwalia Road,Thakur Road,North Dumdum,Opposite Chopra PLC,Raebareli,Kalyan-Dombivli,Maharashtra,India,809657,H.No. 272 Ahluwalia Road,Thakur Road,North Dumdum,Opposite Chopra PLC,Raebareli,Kalyan-Dombivli,Maharashtra,India,317917,M,+910406678404,M,+910003470723,ttella@example.com,odewan@example.net,095447264173,No,0,0
MEMBER-000036,TPA-917326,I,Badal,,,Neysa Sachar,1987-08-24,,F,M,Indian,R,GOVT_EMP,07,H.No. 012 Verma Path,Sandhu Marg,Dhule,Behind School,Mumbai,Gandhidham,Manipur,India,329654,H.No. 96- Kala,Sandhu Marg,Dhule,Behind School,Mumbai,Gandhidham,Manipur,India,329654,M,+911984807343,,,ldalia@example.net,,924286224329,No,0,0
MEMBER-000037,TPA-233508,I,Anvi,Manjari,,Emir Hora,1965-08-27,2016-01-01,F,D,Indian,R,TEACHER,04,H.No. 35 Kunda Circle,Sharma Zila,Orai,Near Chauhan,Rajkot,Kadapa,Chhattisgarh,India,949235,H.No. 35 Kunda Circle,Sharma Zila,Orai,Near Chauhan,Rajkot,Kadapa,Chhattisgarh,India,949235,H,+917071137748,O,,alishagarde@example.org,hazeltripathi@example.net,353810535961,No,0,1
MEMBER-000038,TPA-666310,I,,Romil,Sehgal,Eshani Mahajan,1953-07-17,,F,M,Indian,R,TEACHER,04,21/363- Kata Road,Sethi Zila,Uluberia,Opposite Sagar PLC,Shahjahanpur,Haldia,West Bengal,India,893052,21/363- Kata Road,Khanna Street,Uluberia,Opposite Sagar PLC,Shahjahanpur,Haldia,West Bengal,India,893052,M,2903927555,,,bhavin39@example.com,,,No,0,0
MEMBER-000039,TPA-465449,I,Arhaan,Keya,Chaudhari,Mahika Shroff,1980-03-06,,F,M,Indian,R,STUDENT,06,H.No. 14 Kanda Zila,Golla Road,Hazaribagh,Opposite Varty LLC,Muzaffarnagar,Maheshtala,Tripura,India,377741,H.No. 14 Kanda Zila,Golla Road,Hazaribagh,Opposite Varty LLC,Muzaffarnagar,Maheshtala,Tripura,India,377741,H,5046674945,,,tiwarizara@example.com,farhan22@example.org,391246799294,No,0,0
MEMBER-000040,TPA-172631,I,,Krish,Sule,Uthkarsh Swamy,1967-11-26,,F,M,Indian,R,STUDENT,06,742- Agrawal Marg,Rao Marg,Chandrapur,,Narasaraopet,Howrah,Arunachal Pradesh,India,460607,742- Agrawal Marg,Rao Marg,Chandrapur,,Narasaraopet,Howrah,Sikkim,India,269818,M,01757361894,O,,seherraval@example.com,nayantara16@example.com,793065414525,No,0,0
MEMBER-000041,TPA-443367,I,,Kimaya,Sagar,Jayan Dhaliwal,1972-06-05,,M,M,Indian,R,STUDENT,08,H.No. 434- Chokshi,Dutta Zila,Saharsa,Behind Park,Chinsurah,Sasaram,Kerala,India,129303,21 Acharya Zila,Dutta Zila,Saharsa,Behind Park,Chinsurah,Sasaram,Kerala,India,129303,H,7667988378,,3510285029,hiran28@example.com,balazara@example.com,040551812043,No,0,0
MEMBER-000042,TPA-430654,I,,,Datta,Madhup Chakrabarti,1988-03-29,,F,W,Indian,R,ENGINEER,07,26/24- Chowdhury Nagar,Mann Chowk,Kottayam,"Opposite Buch, Rana and Kale",Dharmavaram,Jhansi,West Bengal,India,741772,26/24- Chowdhury Nagar,Mann Chowk,Kottayam,"Opposite Buch, Rana and Kale",Bhilai,Jhansi,West Bengal,India,857785,M,+919392176252,,+918596245613,dsavant@example.net,,875559537899,No,0,0
MEMBER-000043,TPA-341281,I,Anahita,,Chandra,Abram Sachar,1998-03-27,,F,M,Indian,R,FARMER,03,09/08 Kanda Chowk,Balasubramanian Street,Ambarnath,Behind School,Kottayam,Kulti,Sikkim,India,702185,09/08 Kanda Chowk,Batta,Ambarnath,Behind School,Kottayam,Kulti,Sikkim,India,702185,M,6909412556,,4455370053,shayakbutala@example.com,batraadvik@example.net,039242058742,No,0,1
MEMBER-000044,TPA-790138,I,Inaaya ,Samarth,,Aarush Guha,1960-03-14,,M,M,Indian,R,TEACHER,06,22/630 Bir Marg,Sagar Nagar,Jalandhar,"Opposite Desai, Saraf and Dube",Rajpur Sonarpur,Firozabad,Bihar,India,687853,22/630 Bir Marg,Sagar Nagar,Jalandhar,"Opposite Desai, Saraf and Dube",Rajpur Sonarpur,Firozabad,Bihar,India,687853,H,07290201771,,,jivin75@example.org,,358155410553,No,0,0
MEMBER-000045,TPA-318950,B,Miraya,Faiyaz,Walla,Biju Jain,1988-02-01,,M,M,Indian,R,TEACHER,03,19/870 Bansal,Chowdhury Path,Mirzapur,Behind Mall,Agra,Chandrapur,Arunachal Pradesh,India,908713,H.No. 75 Sanghvi Street,Manne Ganj,Mirzapur,Behind Mall,Agra,Chandrapur,Arunachal Pradesh,India,908713,H,+914945442204,,3698644320,mamooty63@example.com,,286822906888,No,0,0
MEMBER-000046,TPA-311499,I,Alisha,Riaan,Bumb,Trisha Agate,1948-12-17,,F,M,Indian,R,TEACHER,02,69/208- Divan Street,Rattan Chowk,Asansol,Behind Park,Latur,Ghaziabad,Telangana,India,826321,69/208- Divan Street,Rattan Chowk,Asansol,Behind Park,Latur,Ghaziabad,Telangana,India,826321,H,03573471122,O,,saksham69@example.net,deolazad@example.org,269114021907,No,0,0
MEMBER-000047,TPA-417644,I,Siya,,Sabharwal,Suhana Bath,1984-10-03,,F,M,Indian,R,TEACHER,04,84/190- Balasubramanian Nagar,Aurora Marg,Morbi,"Opposite Sehgal, Madan and Shukla",Pondicherry,Alwar,Uttar Pradesh,India,163775,84/190- Balasubramanian Nagar,Aurora Marg,Morbi,"Opposite Sehgal, Madan and Shukla",Pondicherry,Alwar,Uttar Pradesh,India,163775,M,0167583151,,5100577421,vivaan02@example.com,,592041858151,No,0,0
MEMBER-000048,TPA-271220,I,Divit,Kabir,Soni,Bhamini Kaul,1991-07-03,,O,M,Indian,R,MANAGER,05,76/55- Bera Path,Trivedi,Kirari Suleman Nagar,Behind School,Kishanganj,Anantapuram,Rajasthan,India,087860,76/55- Bera Path,Saraf Chowk,Kirari Suleman Nagar,Behind School,Kishanganj,Anantapuram,Rajasthan,India,788848,M,09117666277,M,01994130111,neelofarbumb@example.org,,345765073134,No,0,0
MEMBER-000049,TPA-544893,I,Tushar,Dishani,Rama,Zara Johal,1956-04-09,,F,S,Indian,F,BUSINESS,04,51/78- Sabharwal Zila,Gandhi Zila,Mehsana,,Rajahmundry,Mahbubnagar,Goa,India,218649,H.No. 27 Hari Marg,Gandhi Zila,Mehsana,,Rajahmundry,Ozhukarai,Goa,India,427010,M,+917848799322,,05099490195,qjha@example.org,,835777874000,No,0,0
MEMBER-000050,TPA-384245,I,Suhana,Himmat,Sastry,Dhanush Bumb,2006-03-10,,F,M,Indian,R,PROF,01,H.No. 51 Dalal Ganj,Mammen Circle,Mumbai,,Coimbatore,Bongaigaon,Telangana,India,312890,H.No. 51 Dalal Ganj,Mammen Circle,Mumbai,,Bhopal,Bongaigaon,Telangana,India,312890,M,4869055192,,,uborra@example.net,,767368736083,No,0,0
MEMBER-000051,TPA-344296,I,Anika,Sara,Tak,Jayan Rastogi,2006-06-17,,M,M,Indian,R,ENGINEER,03,627- Sood Road,Dugar Chowk,Bidar,Behind Mall,Kulti,Giridih,Karnataka,India,905648,H.No. 523 Doshi,Dugar Chowk,Shimoga,Behind Mall,Kulti,Giridih,Karnataka,India,905648,H,+911997841910,,07913890614,bhargavastuvan@example.com,,888282093442,No,0,1
MEMBER-000052,TPA-327788,I,Hiran,,Thakkar,Ritvik Badal,1993-05-30,,M,M,Indian,R,FARMER,07,81/17- Banerjee,Manne,Bulandshahr,"Opposite Bobal, Gade and Ravel",Noida,Madhyamgram,West Bengal,India,303363,81/17- Banerjee,Sha Path,Bulandshahr,"Opposite Bobal, Gade and Ravel",Visakhapatnam,Patiala,Arunachal Pradesh,India,673895,M,+917195087303,,+919377540163,sakshammanne@example.com,,857318946365,No,0,0
MEMBER-000053,TPA-909862,I,Riaan,Aradhya,Jhaveri,Jivika Mani,1982-01-05,,M,M,Indian,R,MANAGER,99,H.No. 923 Karan,Balan Road,Ramgarh,Behind School,Mangalore,Pudukkottai,Tamil Nadu,India,991587,H.No. 923 Karan,Balan Road,Ramgarh,Behind School,Mangalore,Pudukkottai,Tamil Nadu,India,853505,H,02390392960,M,05010052200,hirankrishna@example.com,,688910351681,No,0,0
MEMBER-000054,TPA-472605,I,Hiran,Eva,Lad,Advik Doshi,1954-05-15,,F,S,Indian,R,ENGINEER,08,783 Shan Nagar,Anne Ganj,Yamunanagar,,Hindupur,Patiala,Bihar,India,826499,783 Shan Nagar,Anne Ganj,Yamunanagar,,Panvel,Patna,Bihar,India,826499,H,6859186383,H,+910381997056,sekhonsaanvi@example.org,nramesh@example.net,187345350688,No,0,1
MEMBER-000055,TPA-128622,B,Ehsaan,,Kala,Aaryahi Khalsa,1992-09-27,,M,S,Indian,R,PROF,06,11/43 Rajagopal Road,Dube,Satara,,Ranchi,Warangal,Chhattisgarh,India,117002,11/43 Rajagopal Road,Dube,Satara,,Ranchi,Warangal,Chhattisgarh,India,117002,O,+919893537400,H,2773139844,riya10@example.net,raghav36@example.net,811658152731,No,0,0
MEMBER-000056,TPA-243982,I,Zeeshan,Abram,Sodhi,Amira Vasa,1950-01-02,,F,M,Indian,O,PROF,06,919 Sunder Road,Sankar Ganj,Motihari,"Opposite Mand, Mani and Sule",Ambala,Siwan,Chhattisgarh,India,148309,919 Sunder Road,Sankar Ganj,Ratlam,"Opposite Mand, Mani and Sule",Ambala,Khora ,Chhattisgarh,India,148309,H,08189096155,H,,bdhar@example.net,lakshitgoswami@example.net,425026728079,No,0,1
MEMBER-000057,TPA-560996,I,Sumer,Anahita,Choudhary,Vihaan Khatri,1963-12-02,,F,S,Indian,R,RETIRED,06,53/21- Mangat Marg,Dugal Street,Avadi,,Hindupur,Coimbatore,Manipur,India,879755,53/21- Mangat Marg,Dugal Street,Avadi,,Hindupur,Coimbatore,Manipur,India,879755,H,06945806254,M,07996081472,amaniraja@example.org,,392202863712,No,0,0
MEMBER-000058,TPA-229090,I,,Vritika,Tella,Trisha Char,1959-06-07,,M,S,Indian,F,GOVT_EMP,03,43/45- Lal Ganj,Tandon,Bahraich,Near Chanda Circle,Vijayanagaram,Siliguri,Chhattisgarh,India,623008,43/45- Lal Ganj,Tandon,Bahraich,Near Chanda Circle,Vijayanagaram,Siliguri,Chhattisgarh,India,623008,H,04857472620,H,,ksehgal@example.net,,732271845583,No,0,0
