ag_update_date,ag_id,ag_name,ag_gender,ag_date_of_birth,ag_gov_id,ag_license_number,ag_license_issue_date,ag_license_expiry_date,ag_ctgry,ag_expertise_cd,ag_experience,ag_lang,ag_contact_number,ag_email,ag_address_line_1,ag_address_line_2,ag_address_line_3,ag_city,ag_district,ag_state,ag_country,ag_pin_code,ag_since,ag_service_area_type,ag_product,ag_sales_manager_id,ag_account_no
2025-08-13,AG1029,Tara Chandran,F,1991-04-28,UID-855161379504,LIC/Ta/81284,2024-11-17,2029-12-28,PO,LFE,8,Hindi/English/Tamil,98563953504,tara86@example.com,756 Shere,Desai Nagar,Street,Chennai,Chennai,Tamil Nadu,India,666277,2017-07-05,Rural,Combo,SM1001,960344014975
2025-08-13,AG1030,Bhavin Wable,M,1976-03-25,VOTER-A461930,LIC/Ma/40956,2013-10-27,2026-04-30,IM,GEN,16,Hindi/English/Marathi,97356252747,bhavin86@example.com,H.No. 053- De Path,Bava Marg,Street,Pune,Pune,Maharashtra,India,477521,2009-03-24,Urban,Life,SM1029,684582639744
2025-08-13,AG1031,Armaan Sunder,F,1981-06-09,UID-939528414623,LIC/We/72122,2022-12-29,2029-06-26,BO,GEN,5,Hindi/English/Bengali,98650143936,armaan67@example.com,07 Dugar Ganj,Chaudhary Nagar,Street,Howrah,Howrah,West Bengal,India,713943,2019-09-05,Rural,Health,SM1025,982719331087
2025-08-13,AG1032,Lavanya Hayre,M,1977-06-09,UID-450040274890,LIC/De/82546,2025-01-04,2028-01-27,MI,LFE,1,Hindi/English,99767258452,lavanya48@example.com,42/54 Sagar Circle,Doshi Marg,Street,New Delhi,New Delhi,Delhi,India,110030,2024-06-12,Rural,Motor,SM1005,579130329072
2025-08-13,AG1033,Vaibhav Bose,M,1966-06-05,UID-230379654797,LIC/De/43283,2009-06-15,2029-09-02,PO,LFE,17,Hindi/English,99673081584,vaibhav97@example.com,89 Mani Marg,Butala Circle,Street,New Delhi,New Delhi,Delhi,India,110060,2007-11-18,Rural,Combo,SM1035,051022717638
2025-08-13,AG1034,Nakul Tiwari,F,1998-10-11,VOTER-B365720,LIC/De/34597,2023-12-02,2027-10-18,IM,GEN,2,Hindi/English,99088533605,nakul68@example.com,97/003 Sodhi Nagar,Kanda Zila,Street,New Delhi,New Delhi,Delhi,India,110092,2022-11-28,Urban,Motor,SM1003,815062498114
2025-08-13,AG1035,Vanya Swaminathan,M,1978-09-30,VOTER-B943238,LIC/Ma/92091,2020-09-18,2027-01-03,PO,LFE,9,Hindi/English/Marathi,99717086579,vanya68@example.com,84 Wali Chowk,Upadhyay Nagar,Street,Pune,Pune,Maharashtra,India,444436,2016-02-15,Urban,Combo,SM1045,512702977255
2025-08-13,AG1036,Seher Hegde,F,1994-07-23,VOTER-B739595,LIC/Ka/42914,2022-01-17,2028-03-15,MI,HLT,7,Hindi/English/Kannada,98505522816,seher43@example.com,77/910 Kata Chowk,Sandhu Ganj,Street,Mysore,Mysore,Karnataka,India,564612,2017-12-01,Urban,Combo,SM1037,198052540985
2025-08-13,AG1037,Kismat Loyal,F,1979-08-23,VOTER-E202763,LIC/Ka/19110,2024-12-27,2027-03-04,MI,LFE,0,Hindi/English/Kannada,99546667722,kismat70@example.com,48- Bera Circle,Chand Circle,Street,Mysore,Mysore,Karnataka,India,583295,2024-08-26,Rural,Life,SM1004,991492415125
2025-08-13,AG1038,Mohanlal Bahri,F,1980-11-12,VOTER-C179036,LIC/De/84367,2008-11-14,2030-07-11,IM,GEN,17,Hindi/English,97452249824,mohanlal31@example.com,08/781 Chaudhari Marg,Swaminathan Zila,Street,New Delhi,New Delhi,Delhi,India,110097,2008-05-19,Rural,Health,SM1007,222326953141
2025-08-13,AG1039,Indranil De,M,1976-02-18,UID-964837642482,LIC/Ta/64448,2025-01-12,2027-11-30,CO,GEN,12,Hindi/English/Tamil,98383619041,indranil45@example.com,30- Chandran,Buch Road,Street,Chennai,Chennai,Tamil Nadu,India,697579,2013-07-18,Rural,Life,SM1033,442339506648
2025-08-13,AG1040,Nakul Sidhu,M,1990-10-04,ADHAR-1328-4410-5219,LIC/We/46576,2023-07-16,2030-06-19,IM,HLT,3,Hindi/English/Bengali,97698070388,nakul85@example.com,H.No. 112- Basu Zila,Konda Zila,Street,Howrah,Howrah,West Bengal,India,769204,2021-11-28,Urban,Health,SM1009,384105898774
2025-08-13,AG1041,Elakshi Sachdev,F,1996-03-18,ADHAR-1331-6519-3039,LIC/Ka/15055,2023-12-19,2028-05-03,BO,GEN,19,Hindi/English/Kannada,98216426113,elakshi85@example.com,H.No. 91 Bath Circle,Sami Circle,Street,Mysore,Mysore,Karnataka,India,587778,2006-07-15,Rural,Combo,SM1001,485493321857
2025-08-13,AG1042,Hunar Malhotra,F,1994-09-24,ADHAR-2287-5156-4484,LIC/Ka/75638,2023-04-08,2027-03-25,IM,LFE,17,Hindi/English/Kannada,99799642181,hunar14@example.com,H.No. 76- Balasubramanian Path,Joshi Ganj,Street,Bangalore,Bangalore,Karnataka,India,583941,2008-06-04,Rural,Motor,SM1034,410548410436
2025-08-13,AG1043,Zeeshan Lad,M,2001-03-07,VOTER-A141744,LIC/De/43364,2011-08-05,2029-07-02,MI,GEN,19,Hindi/English,98923985013,zeeshan70@example.com,50- Garg Chowk,Soni,Street,New Delhi,New Delhi,Delhi,India,110052,2005-09-24,Rural,Health,SM1033,760712498896
2025-08-13,AG1044,Divyansh Garde,F,1968-12-16,UID-722064508179,LIC/Ta/30993,2025-02-15,2030-07-13,CO,HLT,1,Hindi/English/Tamil,97024288450,divyansh23@example.com,H.No. 26 Swaminathan Nagar,Talwar Zila,Street,Coimbatore,Coimbatore,Tamil Nadu,India,637530,2024-07-11,Urban,Motor,SM1025,787103895373
2025-08-13,AG1045,Navya Chaudry,M,1972-04-06,ADHAR-2318-3528-3352,LIC/Ta/46269,2025-06-22,2028-08-05,CO,GEN,0,Hindi/English/Tamil,98320696932,navya96@example.com,384 Koshy Circle,Divan Path,Street,Madurai,Madurai,Tamil Nadu,India,611362,2025-02-01,Urban,Health,SM1032,888598613063
2025-08-13,AG1046,Mahika Baria,F,1998-05-17,UID-831084121552,LIC/We/88248,2018-10-29,2028-07-12,IM,HLT,8,Hindi/English/Bengali,98328004181,mahika52@example.com,189- Dube,Sehgal Zila,Street,Kolkata,Kolkata,West Bengal,India,709234,2016-08-25,Rural,Life,SM1002,355245975507
2025-08-13,AG1047,Kabir Bawa,M,1987-12-19,UID-307705543441,LIC/Ta/88729,2023-10-12,2027-12-26,MI,GEN,2,Hindi/English/Tamil,99221355259,kabir52@example.com,H.No. 02- Kibe Road,Ahuja Circle,Street,Madurai,Madurai,Tamil Nadu,India,686990,2022-12-01,Urban,Life,SM1042,786173083889
2025-08-13,AG1048,Oorja Shetty,M,1988-03-29,UID-796070548094,LIC/Ta/98524,2015-01-17,2029-05-19,BO,HLT,13,Hindi/English/Tamil,98418478361,oorja47@example.com,08 Tailor Nagar,Deo Street,Street,Chennai,Chennai,Tamil Nadu,India,664496,2012-01-20,Urban,Motor,SM1026,822484464363
2025-08-13,AG1049,Jhanvi Ranganathan,M,2001-10-09,ADHAR-7449-2283-2066,LIC/Ka/66679,2015-12-06,2028-07-04,MI,GEN,9,Hindi/English/Kannada,98028656803,jhanvi99@example.com,24/55 Grover Street,Chowdhury Circle,Street,Mysore,Mysore,Karnataka,India,581462,2015-10-08,Rural,Health,SM1025,136723402645
2025-08-13,AG1050,Kavya Raj,M,1965-12-23,UID-504682799400,LIC/Ka/49146,2015-09-03,2030-02-11,MI,GEN,11,Hindi/English/Kannada,98720099620,kavya84@example.com,04/33- Jhaveri Circle,Edwin Circle,Street,Mysore,Mysore,Karnataka,India,560001,2013-12-08,Urban,Combo,SM1003,262577797089
2025-08-13,AG1051,Jhanvi Lad,M,1991-08-26,ADHAR-9416-7984-1091,LIC/We/29962,2025-05-07,2030-02-03,IM,HLT,4,Hindi/English/Bengali,98907585556,jhanvi71@example.com,H.No. 861 Tiwari Marg,Sampath Zila,Street,Howrah,Howrah,West Bengal,India,790735,2021-06-24,Urban,Combo,SM1035,608445328028
2025-08-13,AG1052,Adira Behl,F,1993-01-26,UID-765437393521,LIC/Ma/13760,2023-01-20,2029-05-16,IM,HLT,9,Hindi/English/Marathi,99907307991,adira89@example.com,219 Rege Street,Jhaveri,Street,Pune,Pune,Maharashtra,India,453083,2015-11-05,Urban,Life,SM1008,760785282521
2025-08-13,AG1053,Arnav Tandon,M,1989-05-23,ADHAR-7736-8570-3072,LIC/Ka/12111,2025-02-09,2029-03-20,MI,GEN,9,Hindi/English/Kannada,98380016144,arnav53@example.com,79/41- Jaggi Street,Hegde Chowk,Street,Mysore,Mysore,Karnataka,India,586528,2016-04-02,Urban,Motor,SM1009,457589241948
2025-08-13,AG1054,Bhavin Dugal,M,1988-10-11,UID-165440038949,LIC/Ka/31615,2021-12-26,2027-11-20,CO,LFE,16,Hindi/English/Kannada,97570924422,bhavin55@example.com,H.No. 170- Wason Ganj,Bora Zila,Street,Bangalore,Bangalore,Karnataka,India,565250,2009-06-05,Urban,Health,SM1036,613049209547
2025-08-13,AG1055,Shayak Srinivasan,F,1990-08-13,VOTER-E554228,LIC/De/97228,2024-08-02,2028-11-22,PO,LFE,1,Hindi/English,98685744181,shayak73@example.com,H.No. 85- Dhawan Street,Salvi Street,Street,New Delhi,New Delhi,Delhi,India,110050,2024-04-28,Urban,Health,SM1036,105144443887
2025-08-13,AG1056,Nitara Apte,F,1973-06-20,UID-165021986377,LIC/We/75621,2022-08-16,2029-11-17,IM,HLT,4,Hindi/English/Bengali,97027053760,nitara67@example.com,38/945 Bala,Mani Road,Street,Kolkata,Kolkata,West Bengal,India,726356,2021-06-06,Urban,Motor,SM1034,698698844170
2025-08-13,AG1057,Sana Issac,M,2002-10-26,UID-535413004354,LIC/Ta/51184,2014-08-19,2030-03-18,IM,LFE,18,Hindi/English/Tamil,98811699453,sana42@example.com,56/120 Gole,Din Road,Street,Chennai,Chennai,Tamil Nadu,India,615035,2007-02-09,Rural,Life,SM1013,843509082038
2025-08-13,AG1058,Hiran Bedi,M,1993-07-06,VOTER-E178421,LIC/Ka/71085,2024-07-18,2027-01-13,IM,LFE,3,Hindi/English/Kannada,99793774898,hiran65@example.com,366 Agate Path,Tailor Zila,Street,Mysore,Mysore,Karnataka,India,571829,2022-07-21,Rural,Life,SM1016,175923651437
2025-08-13,AG1059,Zara Vasa,M,1989-10-08,UID-632107142977,LIC/Ka/36400,2025-05-28,2030-04-08,IM,GEN,0,Hindi/English/Kannada,97277258314,zara56@example.com,H.No. 39- Handa Zila,Chowdhury Road,Street,Bangalore,Bangalore,Karnataka,India,571638,2025-04-29,Rural,Health,SM1003,170515658210
2025-08-13,AG1060,Diya Arora,F,1990-01-27,VOTER-B803927,LIC/De/67800,2011-07-24,2028-09-18,IM,HLT,14,Hindi/English,99686355963,diya17@example.com,44/61- Majumdar,Cherian Marg,Street,New Delhi,New Delhi,Delhi,India,110086,2010-08-30,Rural,Health,SM1015,124507086904
2025-08-13,AG1061,Amira Iyengar,F,1978-11-21,VOTER-B643779,LIC/We/83543,2024-08-26,2027-10-10,CO,LFE,2,Hindi/English/Bengali,97716500961,amira50@example.com,H.No. 18- Kumer Nagar,Sachar Nagar,Street,Kolkata,Kolkata,West Bengal,India,715497,2023-01-04,Rural,Motor,SM1019,918064395996
2025-08-13,AG1062,Prisha Shan,M,1977-10-20,ADHAR-4418-6350-6722,LIC/De/86553,2024-04-24,2029-04-15,MI,LFE,4,Hindi/English,98271589500,prisha74@example.com,H.No. 680- Sen Circle,Dyal Chowk,Street,New Delhi,New Delhi,Delhi,India,110078,2021-03-06,Urban,Life,SM1004,029838999737
2025-08-13,AG1063,Nishith Barad,F,1972-06-29,UID-982191608688,LIC/De/70418,2016-01-12,2028-08-20,CO,LFE,18,Hindi/English,98241775714,nishith13@example.com,119- Kamdar Nagar,Kade Nagar,Street,New Delhi,New Delhi,Delhi,India,110089,2006-09-29,Urban,Health,SM1032,458694020490
2025-08-13,AG1064,Vaibhav Grewal,F,1966-01-17,ADHAR-3281-1985-2358,LIC/De/12470,2014-12-01,2026-04-15,PO,LFE,15,Hindi/English,98966797726,vaibhav24@example.com,84/92 Apte Ganj,Raju Zila,Street,New Delhi,New Delhi,Delhi,India,110071,2009-10-17,Urban,Combo,SM1000,408248969567
2025-08-13,AG1065,Seher Chaudhary,M,1966-12-29,ADHAR-8399-2831-1376,LIC/Ma/19551,2023-02-09,2026-11-12,IM,LFE,15,Hindi/English/Marathi,99691799626,seher94@example.com,20- Sandhu Circle,Sinha Street,Street,Nagpur,Nagpur,Maharashtra,India,428136,2010-01-09,Urban,Combo,SM1049,682245336058
2025-08-13,AG1066,Piya Loyal,M,1976-07-17,VOTER-B671706,LIC/Ka/43979,2011-02-03,2025-11-03,PO,LFE,17,Hindi/English/Kannada,99151613697,piya19@example.com,10/988- Dugar Chowk,Sengupta Circle,Street,Mysore,Mysore,Karnataka,India,589479,2008-06-16,Rural,Motor,SM1012,441960921695
2025-08-13,AG1067,Ranbir Edwin,M,1970-08-10,UID-328805548603,LIC/Ma/83654,2014-12-28,2030-06-20,CO,HLT,11,Hindi/English/Marathi,97246306298,ranbir50@example.com,H.No. 694- Bhakta Zila,Chaudhuri Path,Street,Nagpur,Nagpur,Maharashtra,India,475356,2014-05-01,Rural,Life,SM1016,887018311512
2025-08-13,AG1068,Hridaan Kumer,F,1995-03-14,ADHAR-4762-5962-5612,LIC/Ma/43848,2013-03-18,2029-09-05,IM,HLT,18,Hindi/English/Marathi,97743544616,hridaan11@example.com,628 Contractor Street,Bhalla Marg,Street,Mumbai,Mumbai,Maharashtra,India,434711,2007-07-03,Rural,Life,SM1032,516582703699
2025-08-13,AG1069,Tiya Devi,F,2001-09-23,VOTER-E551302,LIC/Ka/44716,2023-06-14,2025-12-05,BO,LFE,2,Hindi/English/Kannada,98349979754,tiya71@example.com,98- Jani Road,Khalsa Circle,Street,Bangalore,Bangalore,Karnataka,India,572327,2023-04-20,Urban,Health,SM1019,182068668751
2025-08-13,AG1070,Jhanvi Dora,F,1997-02-09,ADHAR-8452-7996-8837,LIC/De/33736,2017-11-10,2027-07-24,PO,LFE,10,Hindi/English,97261984143,jhanvi15@example.com,H.No. 992- Ramachandran Marg,Bandi Zila,Street,New Delhi,New Delhi,Delhi,India,110097,2015-01-09,Urban,Life,SM1033,031793705667
2025-08-13,AG1071,Mahika Andra,M,1976-06-03,ADHAR-3489-2117-9680,LIC/Ta/95280,2025-06-27,2030-04-13,MI,GEN,1,Hindi/English/Tamil,97132693358,mahika60@example.com,51- Bhatnagar Nagar,Edwin Nagar,Street,Coimbatore,Coimbatore,Tamil Nadu,India,684757,2024-03-28,Rural,Health,SM1035,375745486342
2025-08-13,AG1072,Tarini Butala,F,1984-09-29,VOTER-D255071,LIC/Ka/50224,2025-02-05,2027-05-10,PO,LFE,1,Hindi/English/Kannada,97074609648,tarini11@example.com,44/616 Dua Nagar,Roy Zila,Street,Bangalore,Bangalore,Karnataka,India,588418,2024-07-05,Rural,Health,SM1023,363261979393
2025-08-13,AG1073,Jivin Dada,M,1999-05-01,VOTER-C643416,LIC/De/52878,2022-02-10,2029-10-20,CO,LFE,4,Hindi/English,98095523175,jivin51@example.com,202 Bail Circle,Vasa Circle,Street,New Delhi,New Delhi,Delhi,India,110015,2021-04-16,Urban,Health,SM1037,229786277081
2025-08-13,AG1074,Nitara Barad,F,1988-08-01,UID-542325125687,LIC/We/25032,2023-01-14,2030-06-02,CO,HLT,5,Hindi/English/Bengali,99736538481,nitara66@example.com,H.No. 176- Master Nagar,Kibe Nagar,Street,Kolkata,Kolkata,West Bengal,India,766805,2020-03-27,Urban,Health,SM1036,453856972281
2025-08-13,AG1075,Khushi Raju,M,1981-05-08,ADHAR-4217-2272-2096,LIC/Ma/67098,2022-10-22,2029-11-05,IM,LFE,5,Hindi/English/Marathi,98430576354,khushi97@example.com,H.No. 642- Gara Circle,Lanka Ganj,Street,Nagpur,Nagpur,Maharashtra,India,471321,2019-10-29,Urban,Life,SM1039,686033366809
2025-08-13,AG1076,Eva Shere,M,1981-05-23,UID-950197005460,LIC/De/93283,2025-05-26,2028-12-22,IM,LFE,6,Hindi/English,97531048226,eva21@example.com,23 Vora,Goda Nagar,Street,New Delhi,New Delhi,Delhi,India,110081,2019-02-21,Rural,Combo,SM1028,711872675534
2025-08-13,AG1077,Jivin Rao,M,1964-08-25,UID-772663796985,LIC/Ma/52775,2021-11-23,2029-10-28,CO,HLT,8,Hindi/English/Marathi,97138374429,jivin27@example.com,94/52- Hayre Path,Virk Ganj,Street,Pune,Pune,Maharashtra,India,470188,2017-06-28,Urban,Health,SM1046,813368233440
2025-08-13,AG1078,Mahika Rajagopalan,F,1972-08-26,ADHAR-4754-8780-7549,LIC/Ta/75870,2017-01-16,2030-03-11,MI,GEN,9,Hindi/English/Tamil,99702531586,mahika91@example.com,850 Suresh Road,Khurana,Street,Madurai,Madurai,Tamil Nadu,India,651015,2016-08-14,Urban,Life,SM1024,740127954136
2025-08-13,AG1079,Manikya Din,M,1990-11-18,ADHAR-4595-1044-3679,LIC/De/50416,2016-04-15,2030-02-10,MI,LFE,10,Hindi/English,97235515640,manikya69@example.com,252 Som Zila,Gupta Marg,Street,New Delhi,New Delhi,Delhi,India,110043,2015-03-18,Rural,Motor,SM1007,862690091826
