Practitioner_ID,prac_name,prac_license_number,prac_NPI_Number,prac_license_expiry_date,prac_date_of_birth,prac_gender,prac_bank_account_number,prac_contact_number,prac_email_address,prac_practice_address_line1,prac_practice_address_line2,prac_practice_city,prac_practice_state,prac_practice_pincode,prac_primary_specialty,prac_secondary_specialty,prac_taxonomy_code,prac_medical_school,prac_graduation_year,prac_primary_hospital_id,prac_is_solo_practice,prac_onboarding_date,prac_practitioner_status,prac_sanction_history_details,CLAIM_CNT_LT_1M,CLAIM_AMT_LT_1M,CASHLESS_CLAIM_CNT_LT_1M,REIMB_CLAIM_CNT_LT_1M,REJECT_CLAIM_CNT_LT_1M,REJECT_CLAIM_AMT_LT_1M,APPROVE_CLAIM_CNT_LT_1M,APPROVE_CLAIM_AMT_LT_1M,UNIQUE_PATIENTS_CNT_LT_1M,UNIQUE_HOSPITALS_CNT_LT_1M,UNIQUE_AGENTS_CNT_LT_1M,AVG_CONSULTING_FEE_LT_1M,AVG_MEDICINE_FEE_LT_1M,REJECT_REIMB_CLAIM_CNT_LT_1M,REJECT_CSHL_CLAIM_CNT_LT_1M,APPROVE_CASHLESS_CLAIM_CNT_LT_1M,APPROVE_REIMB_CLAIM_CNT_LT_1M,CLAIM_CNT_LT_3M,CLAIM_AMT_LT_3M,CASHLESS_CLAIM_CNT_LT_3M,REIMB_CLAIM_CNT_LT_3M,REJECT_CLAIM_CNT_LT_3M,REJECT_CLAIM_AMT_LT_3M,APPROVE_CLAIM_CNT_LT_3M,APPROVE_CLAIM_AMT_LT_3M,UNIQUE_PATIENTS_CNT_LT_3M,UNIQUE_HOSPITALS_CNT_LT_3M,UNIQUE_AGENTS_CNT_LT_3M,AVG_CONSULTING_FEE_LT_3M,AVG_MEDICINE_FEE_LT_3M,REJECT_REIMB_CLAIM_CNT_LT_3M,REJECT_CSHL_CLAIM_CNT_LT_3M,APPROVE_CASHLESS_CLAIM_CNT_LT_3M,APPROVE_REIMB_CLAIM_CNT_LT_3M,CLAIM_CNT_LT_6M,CLAIM_AMT_LT_6M,CASHLESS_CLAIM_CNT_LT_6M,REIMB_CLAIM_CNT_LT_6M,REJECT_CLAIM_CNT_LT_6M,REJECT_CLAIM_AMT_LT_6M,APPROVE_CLAIM_CNT_LT_6M,APPROVE_CLAIM_AMT_LT_6M,UNIQUE_PATIENTS_CNT_LT_6M,UNIQUE_HOSPITALS_CNT_LT_6M,UNIQUE_AGENTS_CNT_LT_6M,AVG_CONSULTING_FEE_LT_6M,AVG_MEDICINE_FEE_LT_6M,REJECT_REIMB_CLAIM_CNT_LT_6M,REJECT_CSHL_CLAIM_CNT_LT_6M,APPROVE_CASHLESS_CLAIM_CNT_LT_6M,APPROVE_REIMB_CLAIM_CNT_LT_6M,CLAIM_CNT_YR_1,CLAIM_AMT_YR_1,CASHLESS_CLAIM_CNT_YR_1,REIMB_CLAIM_CNT_YR_1,REJECT_CLAIM_CNT_YR_1,REJECT_CLAIM_AMT_YR_1,APPROVE_CLAIM_CNT_YR_1,APPROVE_CLAIM_AMT_YR_1,UNIQUE_PATIENTS_CNT_YR_1,UNIQUE_HOSPITALS_CNT_YR_1,UNIQUE_AGENTS_CNT_YR_1,AVG_CONSULTING_FEE_YR_1,AVG_MEDICINE_FEE_YR_1,REJECT_REIMB_CLAIM_CNT_YR_1,REJECT_CSHL_CLAIM_CNT_YR_1,APPROVE_CASHLESS_CLAIM_CNT_YR_1,APPROVE_REIMB_CLAIM_CNT_YR_1,CLAIM_CNT_YR_2,CLAIM_AMT_YR_2,CASHLESS_CLAIM_CNT_YR_2,REIMB_CLAIM_CNT_YR_2,REJECT_CLAIM_CNT_YR_2,REJECT_CLAIM_AMT_YR_2,APPROVE_CLAIM_CNT_YR_2,APPROVE_CLAIM_AMT_YR_2,UNIQUE_PATIENTS_CNT_YR_2,UNIQUE_HOSPITALS_CNT_YR_2,UNIQUE_AGENTS_CNT_YR_2,AVG_CONSULTING_FEE_YR_2,AVG_MEDICINE_FEE_YR_2,REJECT_REIMB_CLAIM_CNT_YR_2,REJECT_CSHL_CLAIM_CNT_YR_2,APPROVE_CASHLESS_CLAIM_CNT_YR_2,APPROVE_REIMB_CLAIM_CNT_YR_2,CLAIM_CNT_YR_3,CLAIM_AMT_YR_3,CASHLESS_CLAIM_CNT_YR_3,REIMB_CLAIM_CNT_YR_3,REJECT_CLAIM_CNT_YR_3,REJECT_CLAIM_AMT_YR_3,APPROVE_CLAIM_CNT_YR_3,APPROVE_CLAIM_AMT_YR_3,UNIQUE_PATIENTS_CNT_YR_3,UNIQUE_HOSPITALS_CNT_YR_3,UNIQUE_AGENTS_CNT_YR_3,AVG_CONSULTING_FEE_YR_3,AVG_MEDICINE_FEE_YR_3,REJECT_REIMB_CLAIM_CNT_YR_3,REJECT_CSHL_CLAIM_CNT_YR_3,APPROVE_CASHLESS_CLAIM_CNT_YR_3,APPROVE_REIMB_CLAIM_CNT_YR_3,AVG_CLAIM_AMT_LT_1M,AVG_APPR_CLAIM_AMT_LT_1M,AVG_CLAIM_AMT_LT_3M,AVG_APPR_CLAIM_AMT_LT_3M,AVG_CLAIM_AMT_LT_6M,AVG_APPR_CLAIM_AMT_LT_6M,AVG_CLAIM_AMT_YR_1,AVG_APPR_CLAIM_AMT_YR_1,AVG_CLAIM_AMT_YR_2,AVG_APPR_CLAIM_AMT_YR_2,AVG_CLAIM_AMT_YR_3,AVG_APPR_CLAIM_AMT_YR_3,MEMBER_BANKMATCH_FLG
PRAC-1044,Chirag Bandi,MCI/TAM/15201,5510362540,2027-10-26,1975-03-03,Male,12344291251,99712725768,chirag.doc7@clinic.com,95/991- Saran Chowk,Dugar Nagar,Coimbatore,Tamil Nadu,612396,Orthopedic Surgery,Dermatology,207X00000X,All India Institute of Medical Sciences,2002,HOSP-0046,N,2015-07-19,Active,0,8.0,4786672.49,7.0,1.0,2.0,1572765.73,4.0,1966388.21,8.0,8.0,8.0,145964.23,97531.40125,0.0,2.0,3.0,1.0,21,11083781.629999999,19,2,2,1572765.73,16,6552363.6,21,16,20,138237.75761904762,96395.38523809524,0.0,2.0,14,2,33,22723055.4,29,4,2,1572765.73,26,15565697.36,33,22,27,123495.69151515151,143165.38454545452,0.0,2.0,22,4,38,24907858.89,33,5,2,1572765.73,30,17096455.98,38,24,31,115151.36157894737,132258.6052631579,0.0,2.0,25,5,32,26461396.38,20,12,3,3441939.53,28,19709268.939999998,32,23,26,161429.761875,127921.7346875,0.0,3.0,17,11,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,598334.06125,491597.0525,527799.1252380952,409522.725,688577.4363636363,598680.6676923076,655469.9707894737,569881.866,826918.636875,703902.462142857,0.0,0.0,0
PRAC-1045,Kavya Randhawa,MCI/DEL/39760,8180492847,2029-01-26,1982-06-01,Male,258293635262,99136452261,kavya.doc58@clinic.com,62/256- Sethi,0,New Delhi,Delhi,110027,Cardiology,Pediatrics,207R00000X,All India Institute of Medical Sciences,2009,HOSP-0047,N,2025-02-24,Active,0,1.0,36904.36,1.0,0.0,0.0,0.0,1.0,28092.08,1.0,1.0,1.0,11621.5,6372.07,0.0,0.0,1.0,0.0,7,5814811.02,6,1,3,1139402.6,3,3630091.73,7,6,7,139216.90714285715,244915.16714285713,0.0,3.0,2,1,20,12952595.37,14,6,4,1302327.02,14,9720451.8,20,15,19,134319.0975,135795.145,0.0,4.0,8,6,24,14451668.42,17,7,5,1937222.77,17,10473964.96,24,17,20,123160.51708333334,124167.29625,0.0,5.0,10,7,21,17020562.29,19,2,1,59474.95,19,10890450.31,21,17,20,152630.82952380952,180702.20523809525,1.0,0.0,18,1,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,36904.36,28092.08,830687.2885714285,1210030.5766666667,647629.7685,694317.9857142858,602152.8508333333,616115.585882353,810502.9661904762,573181.595263158,0.0,0.0,0
PRAC-1046,Anay Sarraf,MCI/KAR/55788,243409274,2026-04-01,1985-01-11,Other,255669738354,99468000498,anay.doc77@clinic.com,H.No. 168 Zacharia Zila,Kota Road,Bangalore,Karnataka,585359,Oncology,0,207R00000X,All India Institute of Medical Sciences,2010,HOSP-0023,N,2012-09-28,Active,0,4.0,2500306.34,4.0,0.0,0.0,0.0,4.0,2138672.89,4.0,4.0,4.0,123137.6075,156365.8725,0.0,0.0,4.0,0.0,14,7737954.39,10,4,1,65010.95,13,6105433.49,14,14,14,92255.21857142857,158994.43642857144,0.0,1.0,9,4,30,14656017.08,22,8,3,337208.64,25,10342969.05,30,20,27,85548.31300000001,113625.08066666666,0.0,3.0,17,8,33,17489777.28,25,8,3,337208.64,27,11295804.55,33,23,29,97695.93151515152,113449.19575757576,0.0,3.0,19,8,22,12260363.36,17,5,1,544606.58,18,9007819.08,22,19,21,82308.39181818183,150787.2981818182,0.0,1.0,14,4,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,625076.585,534668.2225,552711.0278571428,469648.73000000004,488533.90266666666,413718.76200000005,529993.250909091,418363.1314814815,557289.2436363637,500434.3933333333,0.0,0.0,0
PRAC-1047,Shayak Gala,MCI/MAH/48214,2188195770,2029-08-29,1977-11-09,Female,827575626530,98099907851,shayak.doc92@clinic.com,05/67- Gupta Ganj,0,Nagpur,Maharashtra,482942,General Practice,Neurology,208D00000X,Armed Forces Medical College,2006,HOSP-0048,N,2025-03-30,Active,0,2.0,308539.37,2.0,0.0,0.0,0.0,2.0,276924.44,2.0,2.0,2.0,21008.08,43576.755,0.0,0.0,2.0,0.0,8,2607986.4099999997,6,2,1,1203072.43,6,1099355.81,8,7,8,57731.41625,48795.21,1.0,0.0,6,0,20,7043050.45,16,4,2,1309296.41,14,3035882.2199999997,20,17,18,63859.28050000001,60561.757,1.0,1.0,13,1,27,10237857.86,21,6,2,1309296.41,21,5735053.68,27,22,25,84621.37629629631,53762.43518518518,1.0,1.0,18,3,18,8027703.1899999995,14,4,3,2691670.75,14,4744953.58,18,13,15,78022.24333333333,81205.58444444445,2.0,1.0,12,2,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,154269.685,138462.22,325998.30124999996,183225.96833333335,352152.5225,216848.72999999998,379179.9207407407,273097.7942857143,445983.5105555555,338925.2557142857,0.0,0.0,0
PRAC-1048,Yakshit Bera,MCI/TAM/68048,3090912565,2026-01-10,1964-08-30,Female,969389488243,99750445233,yakshit.doc87@clinic.com,H.No. 546- Char Path,0,Chennai,Tamil Nadu,691861,General Surgery,Dermatology,208600000X,All India Institute of Medical Sciences,1988,HOSP-0013,Y,2020-12-26,Active,0,1.0,444331.77,1.0,0.0,0.0,0.0,1.0,367308.58,1.0,1.0,1.0,132188.59,104113.3,0.0,0.0,1.0,0.0,13,11644306.46,11,2,3,1370159.76,10,8023182.92,13,12,12,234095.85846153848,167012.63,0.0,3.0,8,2,23,16528089.34,18,5,3,1370159.76,18,11103001.74,23,21,20,181280.75869565218,159871.94260869565,0.0,3.0,13,5,27,19343649.5,20,7,4,1825708.7999999998,20,12950474.11,27,24,24,163158.75555555557,159744.89592592593,1.0,3.0,14,6,25,12039078.41,17,8,1,541174.46,22,8511912.89,25,18,23,91984.8668,128468.12199999999,0.0,1.0,15,7,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,444331.77,367308.58,895715.8815384617,802318.292,718612.58,616833.43,716431.4629629629,647523.7054999999,481563.1364,386905.1313636364,0.0,0.0,0
PRAC-1049,Aayush Deshmukh,MCI/WES/95865,6746897260,2026-05-09,1986-11-05,Female,659014734996,98920233770,aayush.doc73@clinic.com,H.No. 93 Agarwal Road,Krishnamurthy Chowk,Howrah,West Bengal,760952,General Surgery,Cardiology,208600000X,Armed Forces Medical College,2015,HOSP-0038,N,2018-06-04,Active,0,4.0,2094847.33,4.0,0.0,1.0,1321004.11,3.0,654934.14,4.0,4.0,4.0,150905.32,66479.825,0.0,1.0,3.0,0.0,11,5626605.44,11,0,2,2423749.13,8,2160692.25,11,11,11,106100.44454545456,97945.0609090909,0.0,2.0,8,0,20,10647174.93,18,2,2,2423749.13,15,5496983.81,20,18,18,105996.4785,107023.6885,0.0,2.0,14,1,25,12703418.56,23,2,2,2423749.13,19,7141011.5,25,20,21,98046.9812,97520.4648,0.0,2.0,18,1,28,23757366.58,19,9,2,1652990.8199999998,26,18636101.619999997,28,24,22,157962.1225,174596.4082142857,1.0,1.0,18,8,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,523711.8325,218311.38,511509.5854545455,270086.53125,532358.7465,366465.58733333333,508136.74240000005,375842.7105263158,848477.3778571428,716773.1392307691,0.0,0.0,0
PRAC-1050,Rati Sachdev,MCI/DEL/38734,2914849922,2028-08-07,1968-10-04,Male,907231285236,98777059287,rati.doc76@clinic.com,62/476- Kade Marg,0,New Delhi,Delhi,110096,Dermatology,Pediatrics,207N00000X,Armed Forces Medical College,1993,HOSP-0038,Y,2024-01-11,Active,0,4.0,1302334.85,3.0,1.0,1.0,393030.01,3.0,672779.16,4.0,4.0,4.0,93549.5925,60693.875,0.0,1.0,2.0,1.0,10,6950594.83,7,3,1,393030.01,9,5297908.51,10,9,10,156792.778,144267.787,0.0,1.0,6,3,27,20084088.97,18,9,3,3009767.91,24,14182844.07,27,19,24,156736.2722222222,139188.69777777776,1.0,2.0,16,8,33,25765322.89,22,11,4,4421134.4399999995,27,16485127.879999999,33,22,30,170453.6621212121,150230.11909090908,1.0,3.0,18,9,17,12593333.82,14,3,1,759511.69,15,9862384.6,17,13,17,162967.24705882353,143662.51294117648,1.0,0.0,14,1,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,325583.7125,224259.72,695059.483,588656.5011111111,743855.147037037,590951.83625,780767.3603030303,610560.2918518519,740784.3423529412,657492.3066666666,0.0,0.0,0
PRAC-1051,Mamooty Mani,MCI/TAM/88483,2539172274,2029-09-13,1986-02-04,Female,152320655130,99798050518,mamooty.doc95@clinic.com,71/595- Bhatt Marg,0,Madurai,Tamil Nadu,620996,Cardiology,Oncology,207R00000X,Kasturba Medical College,2011,HOSP-0025,Y,2020-04-23,Active,0,2.0,873863.54,0.0,2.0,1.0,82998.94,1.0,713729.14,2.0,2.0,2.0,18294.525,157754.38,1.0,0.0,0.0,1.0,11,6744092.79,5,6,2,615543.52,9,5140000.12,11,10,10,124589.4909090909,188796.65454545457,2.0,0.0,5,4,29,16348237.870000001,18,11,2,615543.52,26,13195080.16,29,23,27,110444.79551724138,140815.77103448278,2.0,0.0,18,8,35,18881000.13,22,13,3,1128013.0899999999,31,14932584.98,35,25,32,104428.79628571428,131193.918,2.0,1.0,21,10,18,10494626.45,16,2,1,19312.78,15,8094806.69,18,14,17,139327.2511111111,100382.13722222223,0.0,1.0,13,2,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,436931.77,713729.14,613099.3445454546,571111.1244444444,563732.3403448276,507503.0830769231,539457.1465714285,481696.28967741935,583034.8027777778,539653.7793333334,0.0,0.0,0
PRAC-1052,Jivin Vasa,MCI/DEL/78282,8164919470,2026-06-29,1979-07-17,Female,225594406728,97480524289,jivin.doc68@clinic.com,H.No. 716- Saxena Chowk,Ganguly Zila,New Delhi,Delhi,110027,General Practice,Pediatrics,208D00000X,Maulana Azad Medical College,2006,HOSP-0020,N,2022-07-14,Active,0,2.0,1774890.72,1.0,1.0,0.0,0.0,2.0,1475814.41,2.0,2.0,2.0,222611.885,122386.955,0.0,0.0,1.0,1.0,5,3256141.5,4,1,0,0.0,5,2669892.69,5,5,5,133636.81,109745.024,0.0,0.0,4,1,15,11888077.459999999,11,4,1,64574.33,12,8772217.69,15,15,15,128411.66666666667,135026.34066666669,0.0,1.0,8,4,19,16085644.84,15,4,1,64574.33,16,12021458.69,19,18,19,152082.94736842104,149220.6015789474,0.0,1.0,12,4,25,29074844.380000003,17,8,0,0.0,19,17306949.36,25,18,24,219380.1416,317869.6852,0.0,0.0,13,6,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,887445.36,737907.205,651228.3,533978.538,792538.4973333332,731018.1408333333,846612.8863157894,751341.168125,1162993.7752,910892.0715789474,0.0,0.0,0
PRAC-1053,Azad Sankar,MCI/WES/84834,6965533353,2028-05-30,1986-05-25,Male,292061932561,98101074701,azad.doc64@clinic.com,H.No. 729 Sridhar Chowk,0,Kolkata,West Bengal,724434,Cardiology,General Practice,207R00000X,Maulana Azad Medical College,2010,HOSP-0011,Y,2013-12-28,Active,0,3.0,1531864.55,3.0,0.0,0.0,0.0,3.0,1369506.3,3.0,3.0,3.0,80834.93,94044.55333333334,0.0,0.0,3.0,0.0,12,8961584.08,8,4,2,2321279.1199999996,10,5554919.59,12,10,11,177745.9258333333,122471.87416666666,1.0,1.0,7,3,27,22698901.060000002,22,5,3,2626901.05,24,17063727.11,27,17,25,152176.29333333333,180798.46666666667,1.0,2.0,20,4,32,24805721.18,26,6,3,2626901.05,29,18862220.75,32,21,30,145979.4153125,165936.0871875,1.0,2.0,24,5,18,12057673.879999999,14,4,2,1254036.5999999999,15,8850988.75,18,14,18,183714.425,116383.68444444444,1.0,1.0,12,3,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,510621.51666666666,456502.10000000003,746798.6733333333,555491.959,840700.0392592594,710988.6295833333,775178.786875,650421.4051724138,669870.771111111,590065.9166666666,0.0,0.0,0
PRAC-1054,Gatik Bala,MCI/DEL/94883,3943588049,2025-09-19,1982-01-30,Female,472076998195,99994664413,gatik.doc74@clinic.com,H.No. 80 Biswas Path,0,New Delhi,Delhi,110060,Oncology,General Surgery,207R00000X,Christian Medical College,2010,HOSP-0024,N,2023-04-11,Active,0,1.0,573903.32,1.0,0.0,0.0,0.0,1.0,406702.5,1.0,1.0,1.0,127007.21,97983.36,0.0,0.0,1.0,0.0,8,4880681.86,5,3,0,0.0,6,2687597.42,8,6,8,97946.57625,78458.92749999999,0.0,0.0,3,3,20,12514316.99,15,5,1,343883.57,17,9103118.56,20,14,17,127477.76699999999,101050.14499999999,0.0,1.0,12,5,24,14117349.54,19,5,1,343883.57,21,10421700.61,24,17,20,120179.11958333333,99879.8725,0.0,1.0,16,5,22,16761447.24,18,4,3,1613976.17,18,12394699.54,22,16,19,200145.28590909092,146648.94590909092,1.0,2.0,15,3,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,573903.32,406702.5,610085.2325,447932.9033333333,625715.8495,535477.5623529413,588222.8975,496271.4576190476,761883.9654545455,688594.4188888888,0.0,0.0,0
PRAC-1055,Keya Randhawa,MCI/KAR/30639,1496932083,2027-05-25,1966-12-14,Female,948056189313,98136103806,keya.doc58@clinic.com,13/48 Rao Circle,Bose Street,Bangalore,Karnataka,578789,Pediatrics,0,208000000X,JIPMER,1993,HOSP-0042,Y,2023-06-04,Active,0,6.0,3098791.42,5.0,1.0,0.0,0.0,5.0,1746615.83,6.0,6.0,6.0,88536.59999999999,123570.06166666666,0.0,0.0,4.0,1.0,14,7617856.33,13,1,0,0.0,13,5853947.39,14,14,14,104012.75214285715,94029.43642857143,0.0,0.0,12,1,25,11953969.88,21,4,1,606570.94,22,8440761.42,25,22,25,88839.6208,77299.1744,0.0,1.0,18,4,36,19122566.6,32,4,2,849748.73,32,13920511.719999999,36,28,34,99438.35694444444,82150.43777777778,0.0,2.0,28,4,25,11557587.69,18,7,3,928856.35,18,7104447.55,25,18,22,82452.35,100246.8608,1.0,2.0,15,3,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,516465.23666666663,349323.166,544132.595,450303.64538461535,478158.79520000005,383670.97363636363,531182.4055555556,435015.99124999996,462303.50759999995,394691.53055555554,0.0,0.0,0
PRAC-1056,Samiha Chaudhary,MCI/DEL/62312,6399522911,2028-01-25,1963-09-30,Male,666069699180,99193199750,samiha.doc36@clinic.com,25/70 Vaidya Road,Lalla Ganj,New Delhi,Delhi,110001,Oncology,General Practice,207R00000X,Maulana Azad Medical College,1989,HOSP-0027,Y,2019-04-06,Active,0,5.0,3052104.16,3.0,2.0,1.0,612390.38,4.0,2158211.6799999997,5.0,5.0,4.0,71376.388,191284.822,1.0,0.0,3.0,1.0,12,7525160.85,8,4,1,612390.38,10,5243337.53,12,11,10,104395.52416666667,134811.1475,1.0,0.0,7,3,25,17909499.419999998,20,5,1,612390.38,23,13851052.129999999,25,22,21,119716.53880000001,157293.5852,1.0,0.0,19,4,27,23484745.62,20,7,1,612390.38,25,18844864.27,27,23,23,143777.17185185186,208533.81185185185,1.0,0.0,19,6,22,13317541.74,17,5,2,1521705.9100000001,18,9517865.459999999,22,18,22,142757.42136363636,96310.27409090908,1.0,1.0,14,4,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,610420.832,539552.9199999999,627096.7374999999,524333.753,716379.9768,602219.6578260869,869805.3933333334,753794.5708,605342.8063636364,528770.3033333332,0.0,0.0,0
PRAC-1057,Lagan Suri,MCI/KAR/21268,2234274520,2030-01-23,1962-12-27,Male,285191381617,99788952453,lagan.doc91@clinic.com,H.No. 079 Desai Nagar,0,Mysore,Karnataka,569065,General Practice,Cardiology,208D00000X,Maulana Azad Medical College,1991,HOSP-0029,N,2008-03-05,Sanctioned,Distinctio doloremque veniam at rem quia sunt.,7.0,4121410.51,3.0,4.0,1.0,365151.34,6.0,3011543.73,7.0,6.0,7.0,58028.39,109408.47285714284,0.0,1.0,2.0,4.0,14,6886645.63,8,6,1,365151.34,13,5386513.67,14,13,14,68806.485,72294.51714285715,0.0,1.0,7,6,24,18817070.82,13,11,2,953796.8500000001,21,13829211.73,24,18,23,178902.26249999998,93756.59249999998,0.0,2.0,10,11,28,20841479.919999998,16,12,2,953796.8500000001,25,15678165.040000001,28,21,26,167938.9817857143,92548.12464285713,0.0,2.0,13,12,18,9385127.18,16,2,0,0.0,17,8049262.82,18,14,16,120711.40277777778,85081.64833333333,0.0,0.0,15,2,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,588772.9299999999,501923.955,491903.2592857143,414347.2053846154,784044.6175,658533.8919047619,744338.5685714285,627126.6016,521395.95444444445,473486.0482352941,0.0,0.0,0
PRAC-1058,Madhup Sood,MCI/DEL/27874,2028415899,2027-07-30,1973-06-24,Other,10747176304,98454182654,madhup.doc58@clinic.com,28 Khurana,Kannan Circle,New Delhi,Delhi,110073,General Practice,General Surgery,208D00000X,Christian Medical College,2001,HOSP-0029,N,2014-03-31,Active,0,3.0,1370418.98,3.0,0.0,0.0,0.0,3.0,1216469.9,3.0,3.0,3.0,68630.45,74471.79666666668,0.0,0.0,3.0,0.0,14,6836501.2299999995,11,3,0,0.0,12,5185445.31,14,12,14,70767.01785714286,104144.32714285715,0.0,0.0,9,3,27,16061924.83,22,5,1,1253157.49,23,11218178.72,27,20,25,113005.8274074074,119924.09037037037,0.0,1.0,18,5,33,18641869.26,25,8,1,1253157.49,27,11823766.92,33,25,30,103306.98999999999,125238.20848484848,0.0,1.0,20,7,25,24503707.87,19,6,2,1936640.75,20,13617571.93,25,19,20,190018.164,232119.62879999998,0.0,2.0,15,5,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,456806.32666666666,405489.9666666666,488321.51642857137,432120.44249999995,594886.1048148149,487746.90086956526,564905.1290909091,437917.29333333333,980148.3148,680878.5965,0.0,0.0,0
PRAC-1059,Adah Arora,MCI/DEL/20142,2788497803,2026-03-25,1970-08-03,Other,592018666899,98883179240,adah.doc37@clinic.com,00/214- Bhattacharyya Nagar,0,New Delhi,Delhi,110037,Oncology,Neurology,207R00000X,JIPMER,2000,HOSP-0018,Y,2003-01-21,Active,0,3.0,1995420.79,2.0,1.0,1.0,925394.39,2.0,951162.97,3.0,3.0,3.0,91099.92333333334,176934.83,0.0,1.0,1.0,1.0,16,9041789.73,13,3,3,1656723.6600000001,13,6222260.62,15,13,16,79820.69499999999,132115.5875,0.0,3.0,10,3,34,18875521.02,23,11,3,1656723.6600000001,29,14482415.92,33,24,31,97933.80382352941,117617.57205882354,0.0,3.0,20,9,40,21213284.64,27,13,3,1656723.6600000001,35,16513246.53,39,27,36,97939.56049999999,109843.92324999999,0.0,3.0,24,11,25,12327517.270000001,19,6,4,1330690.4500000002,18,8250301.69,25,17,23,112931.9764,75816.0,2.0,2.0,14,4,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,665140.2633333333,475581.485,565111.858125,478635.4323076923,555162.3829411764,499393.6524137931,530332.116,471807.0437142857,493100.69080000004,458350.0938888889,0.0,0.0,0
PRAC-1060,Mannat Ganesh,MCI/MAH/56531,84405774,2029-06-13,1965-03-21,Female,321797670855,97434530835,mannat.doc41@clinic.com,044 Khalsa Chowk,Talwar Circle,Pune,Maharashtra,412368,Neurology,General Surgery,2084N0400X,JIPMER,1992,HOSP-0035,N,2018-08-27,Active,0,5.0,2476451.52,2.0,3.0,0.0,0.0,5.0,2502677.73,5.0,5.0,5.0,101542.262,58317.456000000006,0.0,0.0,2.0,3.0,13,8109539.62,6,7,0,0.0,13,7625775.3,12,10,12,128258.91769230769,93045.81846153845,0.0,0.0,6,7,24,12310747.22,16,8,1,81851.92,22,9819310.42,23,20,23,114544.02958333334,78893.97958333332,0.0,1.0,14,8,32,16688340.31,21,11,3,524703.59,26,12802790.06,31,24,30,122907.57125000001,85031.738125,2.0,1.0,18,8,26,18486660.37,18,8,2,576125.77,22,13920053.19,25,18,24,140265.28038461538,156890.80692307692,1.0,1.0,16,6,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,495290.304,500535.546,623810.74,586598.1,512947.80083333334,446332.2918181818,521510.6346875,492415.0023076923,711025.3988461539,632729.6904545454,0.0,0.0,0
PRAC-1061,Madhup Goyal,MCI/WES/23943,4845039271,2026-11-15,1976-06-14,Other,86797021946,99383224503,madhup.doc79@clinic.com,H.No. 67- Shukla Nagar,Dixit Zila,Howrah,West Bengal,784614,General Practice,Neurology,208D00000X,All India Institute of Medical Sciences,2000,HOSP-0047,Y,2004-06-28,Active,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,5446998.11,6,3,3,1192256.4300000002,5,3668792.35,9,8,9,225180.40333333332,87082.82555555555,0.0,3.0,2,3,25,22169373.52,19,6,3,1192256.4300000002,20,17198657.8,25,19,23,260548.3172,144204.9372,0.0,3.0,14,6,36,29740442.52,27,9,3,1192256.4300000002,30,21878212.94,36,23,32,229700.93416666667,125780.38638888889,0.0,3.0,21,9,22,17929450.28,17,5,0,0.0,21,13865905.52,22,16,21,201379.6668181818,130709.8431818182,0.0,0.0,16,5,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,605222.0122222223,733758.47,886774.9408,859932.89,826123.4033333333,729273.7646666667,814975.0127272728,660281.2152380953,0.0,0.0,0
