prac_id,prac_name,prac_license_number,prac_NPI_Number,prac_license_expiry_date,prac_date_of_birth,prac_gender,prac_bank_account_number,prac_contact_number,prac_email_address,prac_practice_address_line1,prac_practice_address_line2,prac_practice_city,prac_practice_state,prac_practice_pincode,prac_primary_specialty,prac_secondary_specialty,prac_taxonomy_code,prac_medical_school,prac_graduation_year,prac_primary_hospital_id,prac_is_solo_practice,prac_onboarding_date,prac_practitioner_status,prac_sanction_history_details
PRAC-1010,Aniruddh Jha,MCI/WES/80416,6402574842,2027-06-24,1985-11-16,Other,756732168898,98643183287,aniruddh.doc40@clinic.com,H.No. 390- Shankar Marg,,Howrah,West Bengal,793946,Dermatology,Orthopedic Surgery,207N00000X,Maulana Azad Medical College,2013,HOSP-0013,N,2019-01-04,Active,
PRAC-1011,Abram Sawhney,MCI/DEL/50572,9577025987,2027-08-12,1979-08-27,Other,618720128439,97695165760,abram.doc2@clinic.com,37/24 Bajwa,Brahmbhatt Marg,New Delhi,Delhi,110019,Orthopedic Surgery,,207X00000X,Maulana Azad Medical College,2004,HOSP-0025,Y,2006-05-05,Active,
PRAC-1012,Piya Dada,MCI/DEL/67550,5151506217,2029-01-20,1969-08-09,Female,525396391045,97072536663,piya.doc59@clinic.com,H.No. 031 Sethi Street,,New Delhi,Delhi,110049,Cardiology,Orthopedic Surgery,207R00000X,Kasturba Medical College,1999,HOSP-0025,Y,2008-02-17,Active,
PRAC-1013,Anahi Chacko,MCI/MAH/67227,5837533022,2027-01-15,1968-11-07,Other,800378180564,97779179750,anahi.doc28@clinic.com,02/20 Kakar Street,,Nagpur,Maharashtra,413032,General Practice,Neurology,208D00000X,Kasturba Medical College,1994,HOSP-0024,N,2001-02-11,Active,
PRAC-1014,Tarini Ramesh,MCI/WES/28511,5878999606,2029-08-01,1982-07-04,Other,596393988746,97358462688,tarini.doc72@clinic.com,H.No. 38- Gokhale Ganj,,Kolkata,West Bengal,710416,Oncology,Dermatology,207R00000X,JIPMER,2011,HOSP-0038,N,2018-06-04,Active,
PRAC-1015,Hrishita Saxena,MCI/TAM/26243,3450065257,2026-07-31,1982-11-09,Male,585801095419,98018996268,hrishita.doc63@clinic.com,774 Krish Zila,,Madurai,Tamil Nadu,679623,General Practice,Cardiology,208D00000X,Maulana Azad Medical College,2008,HOSP-0050,N,2012-02-11,Active,
PRAC-1016,Emir Dutta,MCI/MAH/39493,7834864481,2029-04-13,1969-07-22,Male,493533844526,99483444704,emir.doc34@clinic.com,913 Chaudhari Path,,Nagpur,Maharashtra,433589,Orthopedic Surgery,Cardiology,207X00000X,Christian Medical College,1999,HOSP-0017,N,2014-12-21,Active,
PRAC-1017,Dhruv Gera,MCI/TAM/69678,2709066640,2027-02-07,1968-09-14,Other,685495878757,97799258449,dhruv.doc97@clinic.com,51- Rama Ganj,,Coimbatore,Tamil Nadu,698137,Neurology,Cardiology,2084N0400X,JIPMER,1995,HOSP-0047,Y,2007-07-10,Active,
PRAC-1018,Raunak Varughese,MCI/TAM/94490,2436721454,2029-09-20,1967-11-07,Female,507309077705,98513171905,raunak.doc90@clinic.com,44/71- Kakar Zila,Mall,Coimbatore,Tamil Nadu,678286,Oncology,Pediatrics,207R00000X,All India Institute of Medical Sciences,1997,HOSP-0002,N,2013-08-09,Active,
PRAC-1019,Hansh Mandal,MCI/WES/81941,8069140339,2027-11-28,1976-04-04,Male,187044033563,98109133675,hansh.doc42@clinic.com,H.No. 93 Iyengar Chowk,,Howrah,West Bengal,796615,Oncology,Neurology,207R00000X,JIPMER,2004,HOSP-0002,N,2010-08-07,Active,
PRAC-1020,Purab Dara,MCI/WES/65605,5706784101,2025-12-08,1976-05-07,Other,278048950984,97778139180,purab.doc62@clinic.com,H.No. 79 Soman Marg,Hans Circle,Howrah,West Bengal,720181,Dermatology,,207N00000X,JIPMER,2003,HOSP-0034,Y,2011-09-29,Active,
PRAC-1021,Hansh Mander,MCI/DEL/14573,6811530725,2028-10-12,1992-03-08,Male,661024202764,99102686319,hansh.doc99@clinic.com,70- Kalla Circle,,New Delhi,Delhi,110062,General Surgery,Dermatology,208600000X,Armed Forces Medical College,2017,HOSP-0023,Y,2019-03-25,Inactive,
PRAC-1022,Jivika Hari,MCI/MAH/64465,6520039488,2028-03-25,1969-11-14,Female,017088609258,98789356048,jivika.doc74@clinic.com,14 Tripathi Marg,,Nagpur,Maharashtra,492985,Oncology,Neurology,207R00000X,Kasturba Medical College,1995,HOSP-0040,Y,1997-09-19,Sanctioned,Doloribus in dolorem voluptatem architecto non.
PRAC-1023,Yakshit Ben,MCI/DEL/17349,4505382600,2030-02-25,1983-12-27,Other,037084645450,98392918041,yakshit.doc2@clinic.com,67/90 D’Alia Road,Bhandari Path,New Delhi,Delhi,110019,General Surgery,Pediatrics,208600000X,Armed Forces Medical College,2010,HOSP-0008,Y,2023-03-14,Active,
PRAC-1024,Rasha Sawhney,MCI/KAR/55803,1959839921,2028-10-22,1991-02-25,Female,397569748953,98960747272,rasha.doc45@clinic.com,H.No. 35 Chaudhary Street,,Mysore,Karnataka,581367,Cardiology,Pediatrics,207R00000X,Kasturba Medical College,2019,HOSP-0035,N,2025-07-12,Active,
PRAC-1025,Armaan Keer,MCI/WES/47127,2191769611,2025-11-05,1962-09-28,Other,094937378393,97803508274,armaan.doc79@clinic.com,759- Ahluwalia Circle,,Howrah,West Bengal,768680,Oncology,General Surgery,207R00000X,Armed Forces Medical College,1992,HOSP-0022,Y,2016-05-23,Active,
PRAC-1026,Nitara Bhavsar,MCI/MAH/57909,4991493220,2029-11-01,1968-05-25,Other,013132537698,97759926018,nitara.doc96@clinic.com,852 Bandi Marg,,Mumbai,Maharashtra,441696,Pediatrics,,208000000X,Armed Forces Medical College,1997,HOSP-0025,N,2008-12-16,Active,
PRAC-1027,Manjari Dhawan,MCI/KAR/10502,6281475404,2026-09-15,1977-06-27,Female,431195167880,98063346033,manjari.doc52@clinic.com,423- Bhandari Chowk,Varma Road,Bangalore,Karnataka,561252,Neurology,General Practice,2084N0400X,Kasturba Medical College,2004,HOSP-0036,Y,2024-05-11,Active,
PRAC-1028,Aaina Gera,MCI/MAH/91834,2796635598,2028-01-19,1965-09-08,Male,868659727985,98342925936,aaina.doc35@clinic.com,96 Wali Circle,Bal,Nagpur,Maharashtra,402587,Neurology,Oncology,2084N0400X,Christian Medical College,1995,HOSP-0003,N,2022-12-18,Active,
PRAC-1029,Manjari Anne,MCI/TAM/90452,1925862179,2026-10-06,1965-01-12,Male,526796358240,97574667495,manjari.doc59@clinic.com,H.No. 073 Mahal Ganj,Dhawan Chowk,Chennai,Tamil Nadu,618405,General Practice,Pediatrics,208D00000X,Kasturba Medical College,1993,HOSP-0014,Y,1996-05-10,Active,
PRAC-1030,Onkar Doshi,MCI/TAM/98543,3499435409,2029-08-14,1960-01-21,Female,347005389776,97013843880,onkar.doc2@clinic.com,26/599- D’Alia Zila,,Madurai,Tamil Nadu,675158,Dermatology,Neurology,207N00000X,JIPMER,1984,HOSP-0020,Y,2019-07-05,Inactive,
PRAC-1031,Sana Sur,MCI/MAH/73515,7821745511,2026-04-02,1996-06-08,Female,949856421212,99489063414,sana.doc94@clinic.com,36- Bhakta Path,Keer,Mumbai,Maharashtra,446476,Cardiology,Dermatology,207R00000X,Armed Forces Medical College,2022,HOSP-0043,N,2024-01-08,Active,
PRAC-1032,Bhamini Hora,MCI/WES/28622,3786058345,2028-04-30,1986-10-31,Male,198242179319,99067938541,bhamini.doc18@clinic.com,05/324- Solanki Chowk,,Howrah,West Bengal,700530,Dermatology,Neurology,207N00000X,Kasturba Medical College,2015,HOSP-0030,N,2021-06-24,Active,
PRAC-1033,Shaan Butala,MCI/WES/12333,0243468184,2028-12-20,1986-08-15,Female,137862769150,98165318148,shaan.doc38@clinic.com,10/324 Rau,,Kolkata,West Bengal,726245,Pediatrics,,208000000X,JIPMER,2015,HOSP-0018,Y,2021-10-18,Under Review,
PRAC-1034,Darshit Garg,MCI/DEL/88083,6105882942,2030-02-05,1965-11-12,Other,065867132890,97490960422,darshit.doc59@clinic.com,07- Sankar,,New Delhi,Delhi,110019,Oncology,Orthopedic Surgery,207R00000X,Maulana Azad Medical College,1994,HOSP-0041,N,2014-06-21,Active,
PRAC-1035,Farhan Dhar,MCI/WES/63615,9463743740,2029-03-03,1964-12-30,Female,744294556904,98999340730,farhan.doc94@clinic.com,H.No. 77- Virk Circle,Som Nagar,Kolkata,West Bengal,735097,Dermatology,Oncology,207N00000X,Kasturba Medical College,1991,HOSP-0005,N,2005-06-15,Active,
PRAC-1036,Urvi Ravi,MCI/DEL/66841,8027603193,2027-01-01,1974-06-15,Female,590598530165,97434639802,urvi.doc94@clinic.com,10/690 Samra Circle,,New Delhi,Delhi,110071,General Surgery,,208600000X,All India Institute of Medical Sciences,2001,HOSP-0008,N,2007-02-11,Active,
PRAC-1037,Oorja Halder,MCI/TAM/25292,3311458205,2026-06-26,1982-07-07,Other,899000264234,99110043807,oorja.doc69@clinic.com,08/23 Kaur Ganj,,Madurai,Tamil Nadu,647885,Dermatology,General Practice,207N00000X,JIPMER,2007,HOSP-0010,N,2020-02-26,Active,
PRAC-1038,Rati Kalita,MCI/TAM/80336,4048584668,2030-04-14,1988-10-24,Female,267461400679,97094464673,rati.doc62@clinic.com,H.No. 99 Madan,Wali Ganj,Chennai,Tamil Nadu,638039,General Practice,,208D00000X,Christian Medical College,2016,HOSP-0029,Y,2024-09-10,Sanctioned,Hic adipisci iusto cumque soluta deleniti illum officia rerum vitae earum soluta quasi.
PRAC-1039,Heer Ramachandran,MCI/KAR/27232,3789378848,2027-05-27,1975-03-03,Female,348846669969,99523004066,heer.doc69@clinic.com,63/68 Sachdeva Road,,Mysore,Karnataka,575934,Cardiology,General Surgery,207R00000X,Kasturba Medical College,2001,HOSP-0039,Y,2003-07-28,Active,
PRAC-1040,Eshani Ghose,MCI/MAH/73293,5705910823,2026-02-27,1995-10-25,Other,860239953425,97983117514,eshani.doc31@clinic.com,04/42- Comar Street,Babu Zila,Nagpur,Maharashtra,436944,Orthopedic Surgery,,207X00000X,Armed Forces Medical College,2020,HOSP-0029,N,2024-02-14,Active,
PRAC-1041,Anika Choudhry,MCI/WES/44765,2382417316,2027-06-26,1989-08-19,Male,092775547535,99765906578,anika.doc36@clinic.com,H.No. 528- Goswami Marg,,Howrah,West Bengal,774424,Neurology,General Practice,2084N0400X,Armed Forces Medical College,2018,HOSP-0024,N,2024-06-13,Inactive,
PRAC-1042,Advika Thakur,MCI/MAH/24902,6732553946,2026-08-12,1972-08-25,Male,250189801204,97369412661,advika.doc77@clinic.com,33- Sha,,Mumbai,Maharashtra,491355,Oncology,Pediatrics,207R00000X,All India Institute of Medical Sciences,1999,HOSP-0021,Y,2012-08-22,Active,
PRAC-1043,Miraan Gill,MCI/MAH/30331,7156711096,2029-02-06,1991-06-19,Female,881510239496,99296692447,miraan.doc68@clinic.com,13- Bhakta,,Nagpur,Maharashtra,494250,General Practice,General Surgery,208D00000X,Kasturba Medical College,2016,HOSP-0046,N,2019-03-08,Active,
PRAC-1044,Chirag Bandi,MCI/TAM/15201,5510362540,2027-10-26,1975-03-03,Male,012344291251,99712725768,chirag.doc7@clinic.com,95/991- Saran Chowk,Dugar Nagar,Coimbatore,Tamil Nadu,612396,Orthopedic Surgery,Dermatology,207X00000X,All India Institute of Medical Sciences,2002,HOSP-0046,N,2015-07-19,Active,
PRAC-1045,Kavya Randhawa,MCI/DEL/39760,8180492847,2029-01-26,1982-06-01,Male,258293635262,99136452261,kavya.doc58@clinic.com,62/256- Sethi,,New Delhi,Delhi,110027,Cardiology,Pediatrics,207R00000X,All India Institute of Medical Sciences,2009,HOSP-0047,N,2025-02-24,Active,
PRAC-1046,Anay Sarraf,MCI/KAR/55788,0243409274,2026-04-01,1985-01-11,Other,255669738354,99468000498,anay.doc77@clinic.com,H.No. 168 Zacharia Zila,Kota Road,Bangalore,Karnataka,585359,Oncology,,207R00000X,All India Institute of Medical Sciences,2010,HOSP-0023,N,2012-09-28,Active,
PRAC-1047,Shayak Gala,MCI/MAH/48214,2188195770,2029-08-29,1977-11-09,Female,827575626530,98099907851,shayak.doc92@clinic.com,05/67- Gupta Ganj,,Nagpur,Maharashtra,482942,General Practice,Neurology,208D00000X,Armed Forces Medical College,2006,HOSP-0048,N,2025-03-30,Active,
PRAC-1048,Yakshit Bera,MCI/TAM/68048,3090912565,2026-01-10,1964-08-30,Female,969389488243,99750445233,yakshit.doc87@clinic.com,H.No. 546- Char Path,,Chennai,Tamil Nadu,691861,General Surgery,Dermatology,208600000X,All India Institute of Medical Sciences,1988,HOSP-0013,Y,2020-12-26,Active,
PRAC-1049,Aayush Deshmukh,MCI/WES/95865,6746897260,2026-05-09,1986-11-05,Female,659014734996,98920233770,aayush.doc73@clinic.com,H.No. 93 Agarwal Road,Krishnamurthy Chowk,Howrah,West Bengal,760952,General Surgery,Cardiology,208600000X,Armed Forces Medical College,2015,HOSP-0038,N,2018-06-04,Active,
PRAC-1050,Rati Sachdev,MCI/DEL/38734,2914849922,2028-08-07,1968-10-04,Male,907231285236,98777059287,rati.doc76@clinic.com,62/476- Kade Marg,,New Delhi,Delhi,110096,Dermatology,Pediatrics,207N00000X,Armed Forces Medical College,1993,HOSP-0038,Y,2024-01-11,Active,
PRAC-1051,Mamooty Mani,MCI/TAM/88483,2539172274,2029-09-13,1986-02-04,Female,152320655130,99798050518,mamooty.doc95@clinic.com,71/595- Bhatt Marg,,Madurai,Tamil Nadu,620996,Cardiology,Oncology,207R00000X,Kasturba Medical College,2011,HOSP-0025,Y,2020-04-23,Active,
PRAC-1052,Jivin Vasa,MCI/DEL/78282,8164919470,2026-06-29,1979-07-17,Female,225594406728,97480524289,jivin.doc68@clinic.com,H.No. 716- Saxena Chowk,Ganguly Zila,New Delhi,Delhi,110027,General Practice,Pediatrics,208D00000X,Maulana Azad Medical College,2006,HOSP-0020,N,2022-07-14,Active,
PRAC-1053,Azad Sankar,MCI/WES/84834,6965533353,2028-05-30,1986-05-25,Male,292061932561,98101074701,azad.doc64@clinic.com,H.No. 729 Sridhar Chowk,,Kolkata,West Bengal,724434,Cardiology,General Practice,207R00000X,Maulana Azad Medical College,2010,HOSP-0011,Y,2013-12-28,Active,
PRAC-1054,Gatik Bala,MCI/DEL/94883,3943588049,2025-09-19,1982-01-30,Female,472076998195,99994664413,gatik.doc74@clinic.com,H.No. 80 Biswas Path,,New Delhi,Delhi,110060,Oncology,General Surgery,207R00000X,Christian Medical College,2010,HOSP-0024,N,2023-04-11,Active,
PRAC-1055,Keya Randhawa,MCI/KAR/30639,1496932083,2027-05-25,1966-12-14,Female,948056189313,98136103806,keya.doc58@clinic.com,13/48 Rao Circle,Bose Street,Bangalore,Karnataka,578789,Pediatrics,,208000000X,JIPMER,1993,HOSP-0042,Y,2023-06-04,Active,
PRAC-1056,Samiha Chaudhary,MCI/DEL/62312,6399522911,2028-01-25,1963-09-30,Male,666069699180,99193199750,samiha.doc36@clinic.com,25/70 Vaidya Road,Lalla Ganj,New Delhi,Delhi,110001,Oncology,General Practice,207R00000X,Maulana Azad Medical College,1989,HOSP-0027,Y,2019-04-06,Active,
PRAC-1057,Lagan Suri,MCI/KAR/21268,2234274520,2030-01-23,1962-12-27,Male,285191381617,99788952453,lagan.doc91@clinic.com,H.No. 079 Desai Nagar,,Mysore,Karnataka,569065,General Practice,Cardiology,208D00000X,Maulana Azad Medical College,1991,HOSP-0029,N,2008-03-05,Sanctioned,Distinctio doloremque veniam at rem quia sunt.
PRAC-1058,Madhup Sood,MCI/DEL/27874,2028415899,2027-07-30,1973-06-24,Other,010747176304,98454182654,madhup.doc58@clinic.com,28 Khurana,Kannan Circle,New Delhi,Delhi,110073,General Practice,General Surgery,208D00000X,Christian Medical College,2001,HOSP-0029,N,2014-03-31,Active,
PRAC-1059,Adah Arora,MCI/DEL/20142,2788497803,2026-03-25,1970-08-03,Other,592018666899,98883179240,adah.doc37@clinic.com,00/214- Bhattacharyya Nagar,,New Delhi,Delhi,110037,Oncology,Neurology,207R00000X,JIPMER,2000,HOSP-0018,Y,2003-01-21,Active,
PRAC-1060,Mannat Ganesh,MCI/MAH/56531,0084405774,2029-06-13,1965-03-21,Female,321797670855,97434530835,mannat.doc41@clinic.com,044 Khalsa Chowk,Talwar Circle,Pune,Maharashtra,412368,Neurology,General Surgery,2084N0400X,JIPMER,1992,HOSP-0035,N,2018-08-27,Active,
PRAC-1061,Madhup Goyal,MCI/WES/23943,4845039271,2026-11-15,1976-06-14,Other,086797021946,99383224503,madhup.doc79@clinic.com,H.No. 67- Shukla Nagar,Dixit Zila,Howrah,West Bengal,784614,General Practice,Neurology,208D00000X,All India Institute of Medical Sciences,2000,HOSP-0047,Y,2004-06-28,Active,
PRAC-1062,Indrajit Badal,MCI/DEL/55855,9827976545,2026-08-24,1991-07-30,Other,319665696168,99396597008,indrajit.doc4@clinic.com,74/85- Amble,,New Delhi,Delhi,110077,Cardiology,Oncology,207R00000X,Armed Forces Medical College,2016,HOSP-0040,N,2020-08-24,Active,
PRAC-1063,Arnav Magar,MCI/TAM/70833,6590016556,2025-11-22,1991-06-02,Male,156744338369,99803532361,arnav.doc17@clinic.com,32/023 Ahuja Nagar,,Chennai,Tamil Nadu,623894,General Surgery,Cardiology,208600000X,Kasturba Medical College,2018,HOSP-0013,N,2022-04-10,Active,
PRAC-1064,Saksham Hans,MCI/MAH/92606,2746396939,2027-08-13,1969-05-28,Male,011743445242,99296150470,saksham.doc23@clinic.com,430 Chada Street,Arya,Nagpur,Maharashtra,489613,General Practice,Pediatrics,208D00000X,Armed Forces Medical College,1994,HOSP-0050,Y,2010-08-19,Under Review,
PRAC-1065,Samar Hari,MCI/DEL/68548,9262469932,2027-08-25,1994-07-28,Other,469190717401,99229962046,samar.doc54@clinic.com,H.No. 01- Din Nagar,,New Delhi,Delhi,110090,Dermatology,Orthopedic Surgery,207N00000X,Armed Forces Medical College,2019,HOSP-0028,N,2022-09-20,Active,
PRAC-1066,Bhavin Grover,MCI/TAM/97073,1963612105,2026-02-15,1982-02-15,Female,414803707063,98557785381,bhavin.doc11@clinic.com,31- Bala Path,Bhagat Circle,Chennai,Tamil Nadu,611043,Oncology,Orthopedic Surgery,207R00000X,JIPMER,2008,HOSP-0047,Y,2011-05-09,Active,
PRAC-1067,Saksham Kala,MCI/MAH/36229,1389594352,2029-02-26,1988-04-30,Other,706017929236,97825217279,saksham.doc9@clinic.com,29- Seth Ganj,,Mumbai,Maharashtra,468561,Dermatology,Cardiology,207N00000X,JIPMER,2014,HOSP-0043,Y,2025-02-22,Active,
PRAC-1068,Aarna Cherian,MCI/WES/90833,3652386181,2027-01-23,1996-10-03,Female,291855790295,97882727475,aarna.doc88@clinic.com,H.No. 83- Mahajan Path,Sarraf Path,Kolkata,West Bengal,799492,Oncology,Neurology,207R00000X,All India Institute of Medical Sciences,2023,HOSP-0021,Y,2025-07-10,Active,
PRAC-1069,Miraan Chadha,MCI/KAR/34837,9370597326,2026-09-15,1981-08-19,Female,804240746815,98925904530,miraan.doc65@clinic.com,H.No. 49- Shah Chowk,Vora Road,Bangalore,Karnataka,563145,General Practice,Cardiology,208D00000X,Kasturba Medical College,2011,HOSP-0045,N,2021-02-11,Inactive,
PRAC-1070,Dhanush Vyas,MCI/KAR/94092,9023159805,2027-01-13,1963-05-28,Male,530810966605,98434646662,dhanush.doc84@clinic.com,65/32 Chokshi Marg,Dave Nagar,Bangalore,Karnataka,581835,Dermatology,Neurology,207N00000X,Christian Medical College,1989,HOSP-0045,Y,2022-02-27,Active,
PRAC-1071,Kavya Sachar,MCI/DEL/53696,2162071177,2025-10-05,1983-09-14,Other,255734469376,98780381862,kavya.doc32@clinic.com,62 Amble Road,,New Delhi,Delhi,110037,Oncology,General Surgery,207R00000X,Maulana Azad Medical College,2011,HOSP-0048,Y,2024-10-09,Active,
PRAC-1072,Nirvaan Chaudhari,MCI/TAM/79658,9716278156,2029-01-24,1978-02-21,Male,291276151938,99460199635,nirvaan.doc53@clinic.com,H.No. 546- Jain Marg,,Madurai,Tamil Nadu,699445,General Practice,General Surgery,208D00000X,Kasturba Medical College,2002,HOSP-0008,Y,2004-06-02,Active,
PRAC-1073,Rania Lanka,MCI/DEL/94073,7723260674,2028-04-10,1969-12-22,Other,510521654560,98002775549,rania.doc31@clinic.com,H.No. 179 Ahuja Road,Sagar Street,New Delhi,Delhi,110075,Oncology,Neurology,207R00000X,Armed Forces Medical College,1996,HOSP-0033,N,2025-04-26,Active,
PRAC-1074,Hunar Choudhry,MCI/DEL/43466,1588591839,2027-07-20,1981-01-10,Female,508810066814,99388105493,hunar.doc68@clinic.com,H.No. 456- Subramaniam Marg,Kara Path,New Delhi,Delhi,110028,Pediatrics,Dermatology,208000000X,Armed Forces Medical College,2008,HOSP-0024,N,2021-11-19,Inactive,
PRAC-1075,Rania Atwal,MCI/KAR/16870,5202026876,2028-04-25,1962-04-04,Male,345200493078,98552480353,rania.doc87@clinic.com,78/862- Divan Zila,Srinivas Road,Bangalore,Karnataka,565565,Orthopedic Surgery,Oncology,207X00000X,Maulana Azad Medical College,1990,HOSP-0017,Y,1995-02-12,Active,
PRAC-1076,Jayant Sagar,MCI/TAM/38609,8363746832,2025-09-24,1977-11-26,Other,059051756950,99821146949,jayant.doc81@clinic.com,91 Atwal Zila,Keer Zila,Madurai,Tamil Nadu,684463,Orthopedic Surgery,Cardiology,207X00000X,Maulana Azad Medical College,2002,HOSP-0018,Y,2024-03-19,Active,
PRAC-1077,Indranil Mani,MCI/WES/71353,2722436964,2027-09-26,1982-09-12,Male,042851973149,98665244549,indranil.doc46@clinic.com,97/050 Ray Circle,Hegde Chowk,Howrah,West Bengal,741649,Neurology,Dermatology,2084N0400X,JIPMER,2009,HOSP-0015,N,2017-08-19,Inactive,
PRAC-1078,Aarna Kala,MCI/WES/16612,5533983024,2027-02-20,1981-08-22,Other,832403733891,98538509020,aarna.doc6@clinic.com,H.No. 07- Bala Street,Mani Circle,Kolkata,West Bengal,769486,Neurology,Cardiology,2084N0400X,Maulana Azad Medical College,2006,HOSP-0020,Y,2024-05-05,Active,
PRAC-1079,Shanaya Andra,MCI/TAM/93971,7876349340,2028-12-17,1969-07-10,Female,279907720791,98252425091,shanaya.doc82@clinic.com,17/983- Bava Circle,,Madurai,Tamil Nadu,677248,Dermatology,General Surgery,207N00000X,Maulana Azad Medical College,1993,HOSP-0036,N,2000-01-03,Active,
PRAC-1080,Hiran Kakar,MCI/KAR/10510,0970995934,2030-06-15,1987-02-17,Male,763604969382,97723932779,hiran.doc9@clinic.com,H.No. 759- Bhatti Chowk,,Mysore,Karnataka,588481,Cardiology,,207R00000X,Armed Forces Medical College,2012,HOSP-0006,N,2018-03-21,Active,
PRAC-1081,Shalv Master,MCI/DEL/47677,2688166944,2026-09-15,1992-05-03,Male,665653065816,97366445642,shalv.doc69@clinic.com,67/60 Zacharia,,New Delhi,Delhi,110057,Neurology,Dermatology,2084N0400X,Armed Forces Medical College,2016,HOSP-0046,N,2023-02-14,Under Review,
PRAC-1082,Rhea Bawa,MCI/MAH/11152,6898969195,2026-06-30,1991-04-02,Female,109306325901,99911423495,rhea.doc69@clinic.com,33- Raj Circle,Sahni Chowk,Mumbai,Maharashtra,488051,Cardiology,Neurology,207R00000X,Christian Medical College,2020,HOSP-0044,N,2024-01-27,Active,
PRAC-1083,Oorja Kata,MCI/MAH/93085,2726130829,2027-06-05,1967-10-03,Female,812798020199,97671884849,oorja.doc70@clinic.com,H.No. 00- Deol,Majumdar,Pune,Maharashtra,461856,Pediatrics,Cardiology,208000000X,JIPMER,1996,HOSP-0041,N,2013-06-04,Active,
PRAC-1084,Ayesha Biswas,MCI/TAM/79366,2078318823,2029-10-16,1996-10-05,Female,076601126550,98555635737,ayesha.doc51@clinic.com,993 Varghese Path,Vaidya Marg,Madurai,Tamil Nadu,672116,General Practice,Dermatology,208D00000X,Armed Forces Medical College,2023,HOSP-0042,Y,2025-04-23,Active,
